t phi
0.000000000000000000e+00 1.000000000000000082e-05
0.000000000000000000e+00 1.000000000000000082e-05
0.000000000000000000e+00 1.000000000000000082e-05
1.600000000000000033e-01 1.137461711777749965e-05
1.600000000000000033e-01 1.137461711777749965e-05
1.600000000000000033e-01 1.137461711777749965e-05
3.200000000000000067e-01 1.549796435158420080e-05
3.200000000000000067e-01 1.549796435158420080e-05
3.200000000000000067e-01 1.549796435158420080e-05
4.799999999999999822e-01 2.236863569208679959e-05
4.799999999999999822e-01 2.236863569208679959e-05
4.799999999999999822e-01 2.236863569208679959e-05
6.400000000000000133e-01 3.198433255538760329e-05
6.400000000000000133e-01 3.198433255538760329e-05
6.400000000000000133e-01 3.198433255538760329e-05
8.000000000000000444e-01 4.434166250419919981e-05
8.000000000000000444e-01 4.434166250419919981e-05
8.000000000000000444e-01 4.434166250419919981e-05
9.599999999999999645e-01 5.943611960369229790e-05
9.599999999999999645e-01 5.943611960369229790e-05
9.599999999999999645e-01 5.943611960369229790e-05
1.120000000000000107e+00 7.726234101611810122e-05
1.120000000000000107e+00 7.726234101611810122e-05
1.120000000000000107e+00 7.726234101611810122e-05
1.280000000000000027e+00 9.781383702513710176e-05
1.280000000000000027e+00 9.781383702513710176e-05
1.280000000000000027e+00 9.781383702513710176e-05
1.439999999999999947e+00 1.210829379338899963e-04
1.439999999999999947e+00 1.210829379338899963e-04
1.439999999999999947e+00 1.210829379338899963e-04
1.600000000000000089e+00 1.470607666886759976e-04
1.600000000000000089e+00 1.470607666886759976e-04
1.600000000000000089e+00 1.470607666886759976e-04
1.760000000000000009e+00 1.757375916974270047e-04
1.760000000000000009e+00 1.757375916974270047e-04
1.760000000000000009e+00 1.757375916974270047e-04
1.919999999999999929e+00 2.071019411691980047e-04
1.919999999999999929e+00 2.071019411691980047e-04
1.919999999999999929e+00 2.071019411691980047e-04
2.080000000000000071e+00 2.411411867794919931e-04
2.080000000000000071e+00 2.411411867794919931e-04
2.080000000000000071e+00 2.411411867794919931e-04
2.240000000000000213e+00 2.778415334124600066e-04
2.240000000000000213e+00 2.778415334124600066e-04
2.240000000000000213e+00 2.778415334124600066e-04
2.399999999999999911e+00 3.171872065859390266e-04
2.399999999999999911e+00 3.171872065859390266e-04
2.399999999999999911e+00 3.171872065859390266e-04
2.560000000000000053e+00 3.591615885451740074e-04
2.560000000000000053e+00 3.591615885451740074e-04
2.560000000000000053e+00 3.591615885451740074e-04
2.720000000000000195e+00 4.037454859899039777e-04
2.720000000000000195e+00 4.037454859899039777e-04
2.720000000000000195e+00 4.037454859899039777e-04
2.879999999999999893e+00 4.509189102886730204e-04
2.879999999999999893e+00 4.509189102886730204e-04
2.879999999999999893e+00 4.509189102886730204e-04
3.040000000000000036e+00 5.006592925386369559e-04
3.040000000000000036e+00 5.006592925386369559e-04
3.040000000000000036e+00 5.006592925386369559e-04
3.200000000000000178e+00 5.529428201099870340e-04
3.200000000000000178e+00 5.529428201099870340e-04
3.200000000000000178e+00 5.529428201099870340e-04
3.359999999999999876e+00 6.077430561557229738e-04
3.359999999999999876e+00 6.077430561557229738e-04
3.359999999999999876e+00 6.077430561557229738e-04
3.520000000000000018e+00 6.650321084841810280e-04
3.520000000000000018e+00 6.650321084841810280e-04
3.520000000000000018e+00 6.650321084841810280e-04
3.680000000000000160e+00 7.247794212407770087e-04
3.680000000000000160e+00 7.247794212407770087e-04
3.680000000000000160e+00 7.247794212407770087e-04
3.839999999999999858e+00 7.869519881374039674e-04
3.839999999999999858e+00 7.869519881374039674e-04
3.839999999999999858e+00 7.869519881374039674e-04
4.000000000000000000e+00 8.515152680586480409e-04
4.000000000000000000e+00 8.515152680586480409e-04
4.000000000000000000e+00 8.515152680586480409e-04
4.160000000000000142e+00 9.184312350063519870e-04
4.160000000000000142e+00 9.184312350063519870e-04
4.160000000000000142e+00 9.184312350063519870e-04
4.320000000000000284e+00 9.876596030541249724e-04
4.320000000000000284e+00 9.876596030541249724e-04
4.320000000000000284e+00 9.876596030541249724e-04
4.480000000000000426e+00 1.059158179236790055e-03
4.480000000000000426e+00 1.059158179236790055e-03
4.480000000000000426e+00 1.059158179236790055e-03
4.639999999999999680e+00 1.132880563106919989e-03
4.639999999999999680e+00 1.132880563106919989e-03
4.639999999999999680e+00 1.132880563106919989e-03
4.799999999999999822e+00 1.208778750900540077e-03
4.799999999999999822e+00 1.208778750900540077e-03
4.799999999999999822e+00 1.208778750900540077e-03
4.959999999999999964e+00 1.286801181694219960e-03
4.959999999999999964e+00 1.286801181694219960e-03
4.959999999999999964e+00 1.286801181694219960e-03
5.120000000000000107e+00 1.366893576975359952e-03
5.120000000000000107e+00 1.366893576975359952e-03
5.120000000000000107e+00 1.366893576975359952e-03
5.280000000000000249e+00 1.448999089864920053e-03
5.280000000000000249e+00 1.448999089864920053e-03
5.280000000000000249e+00 1.448999089864920053e-03
5.440000000000000391e+00 1.533056925986199916e-03
5.440000000000000391e+00 1.533056925986199916e-03
5.440000000000000391e+00 1.533056925986199916e-03
5.599999999999999645e+00 1.619004091321069906e-03
5.599999999999999645e+00 1.619004091321069906e-03
5.599999999999999645e+00 1.619004091321069906e-03
5.759999999999999787e+00 1.706774240875040061e-03
5.759999999999999787e+00 1.706774240875040061e-03
5.759999999999999787e+00 1.706774240875040061e-03
5.919999999999999929e+00 1.796294297990189961e-03
5.919999999999999929e+00 1.796294297990189961e-03
5.919999999999999929e+00 1.796294297990189961e-03
6.080000000000000071e+00 1.887495630459850009e-03
6.080000000000000071e+00 1.887495630459850009e-03
6.080000000000000071e+00 1.887495630459850009e-03
6.240000000000000213e+00 1.980300505612089899e-03
6.240000000000000213e+00 1.980300505612089899e-03
6.240000000000000213e+00 1.980300505612089899e-03
6.400000000000000355e+00 2.074624735318760047e-03
6.400000000000000355e+00 2.074624735318760047e-03
6.400000000000000355e+00 2.074624735318760047e-03
6.559999999999999609e+00 2.170379492072760201e-03
6.559999999999999609e+00 2.170379492072760201e-03
6.559999999999999609e+00 2.170379492072760201e-03
6.719999999999999751e+00 2.267463934203830123e-03
6.719999999999999751e+00 2.267463934203830123e-03
6.719999999999999751e+00 2.267463934203830123e-03
6.879999999999999893e+00 2.365772288749070154e-03
6.879999999999999893e+00 2.365772288749070154e-03
6.879999999999999893e+00 2.365772288749070154e-03
7.040000000000000036e+00 2.465201017836129906e-03
7.040000000000000036e+00 2.465201017836129906e-03
7.040000000000000036e+00 2.465201017836129906e-03
7.200000000000000178e+00 2.565653709917349937e-03
7.200000000000000178e+00 2.565653709917349937e-03
7.200000000000000178e+00 2.565653709917349937e-03
7.360000000000000320e+00 2.667028077887070164e-03
7.360000000000000320e+00 2.667028077887070164e-03
7.360000000000000320e+00 2.667028077887070164e-03
7.519999999999999574e+00 2.769209212831249926e-03
7.519999999999999574e+00 2.769209212831249926e-03
7.519999999999999574e+00 2.769209212831249926e-03
7.679999999999999716e+00 2.872096538418180030e-03
7.679999999999999716e+00 2.872096538418180030e-03
7.679999999999999716e+00 2.872096538418180030e-03
7.839999999999999858e+00 2.975573232699370210e-03
7.839999999999999858e+00 2.975573232699370210e-03
7.839999999999999858e+00 2.975573232699370210e-03
8.000000000000000000e+00 3.079487854415390111e-03
8.000000000000000000e+00 3.079487854415390111e-03
8.000000000000000000e+00 3.079487854415390111e-03
8.160000000000000142e+00 3.183702275663289998e-03
8.160000000000000142e+00 3.183702275663289998e-03
8.160000000000000142e+00 3.183702275663289998e-03
8.320000000000000284e+00 3.288086176086169911e-03
8.320000000000000284e+00 3.288086176086169911e-03
8.320000000000000284e+00 3.288086176086169911e-03
8.480000000000000426e+00 3.392489444645219784e-03
8.480000000000000426e+00 3.392489444645219784e-03
8.480000000000000426e+00 3.392489444645219784e-03
8.640000000000000568e+00 3.496726563424259852e-03
8.640000000000000568e+00 3.496726563424259852e-03
8.640000000000000568e+00 3.496726563424259852e-03
8.800000000000000711e+00 3.600549232440690157e-03
8.800000000000000711e+00 3.600549232440690157e-03
8.800000000000000711e+00 3.600549232440690157e-03
8.960000000000000853e+00 3.703646977712310093e-03
8.960000000000000853e+00 3.703646977712310093e-03
8.960000000000000853e+00 3.703646977712310093e-03
9.119999999999999218e+00 3.805654670466760130e-03
9.119999999999999218e+00 3.805654670466760130e-03
9.119999999999999218e+00 3.805654670466760130e-03
9.279999999999999361e+00 3.906134847418230114e-03
9.279999999999999361e+00 3.906134847418230114e-03
9.279999999999999361e+00 3.906134847418230114e-03
9.439999999999999503e+00 4.004556620843339673e-03
9.439999999999999503e+00 4.004556620843339673e-03
9.439999999999999503e+00 4.004556620843339673e-03
9.599999999999999645e+00 4.100290990457699722e-03
9.599999999999999645e+00 4.100290990457699722e-03
9.599999999999999645e+00 4.100290990457699722e-03
9.759999999999999787e+00 4.192615934720469659e-03
9.759999999999999787e+00 4.192615934720469659e-03
9.759999999999999787e+00 4.192615934720469659e-03
9.919999999999999929e+00 4.280722385099250057e-03
9.919999999999999929e+00 4.280722385099250057e-03
9.919999999999999929e+00 4.280722385099250057e-03
1.008000000000000007e+01 4.363738173921630388e-03
1.008000000000000007e+01 4.363738173921630388e-03
1.008000000000000007e+01 4.363738173921630388e-03
1.024000000000000021e+01 4.440840978701629874e-03
1.024000000000000021e+01 4.440840978701629874e-03
1.024000000000000021e+01 4.440840978701629874e-03
1.040000000000000036e+01 4.511456233939339748e-03
1.040000000000000036e+01 4.511456233939339748e-03
1.040000000000000036e+01 4.511456233939339748e-03
