t rho
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
0.000000000000000000e+00 1.945195675683340049e-03
8.000000000000000444e-01 1.945215843468269977e-03
8.000000000000000444e-01 1.945215843468269977e-03
8.000000000000000444e-01 1.945215843468269977e-03
8.000000000000000444e-01 1.945215843468269977e-03
1.600000000000000089e+00 1.945273142574159911e-03
1.600000000000000089e+00 1.945273142574159911e-03
1.600000000000000089e+00 1.945273142574159911e-03
1.600000000000000089e+00 1.945273142574159911e-03
2.399999999999999911e+00 1.945360048578510066e-03
2.399999999999999911e+00 1.945360048578510066e-03
2.399999999999999911e+00 1.945360048578510066e-03
2.399999999999999911e+00 1.945360048578510066e-03
3.200000000000000178e+00 1.945456973983829925e-03
3.200000000000000178e+00 1.945456973983829925e-03
3.200000000000000178e+00 1.945456973983829925e-03
3.200000000000000178e+00 1.945456973983829925e-03
4.000000000000000000e+00 1.945555031176740080e-03
4.000000000000000000e+00 1.945555031176740080e-03
4.000000000000000000e+00 1.945555031176740080e-03
4.000000000000000000e+00 1.945555031176740080e-03
4.799999999999999822e+00 1.945654642225310045e-03
4.799999999999999822e+00 1.945654642225310045e-03
4.799999999999999822e+00 1.945654642225310045e-03
4.799999999999999822e+00 1.945654642225310045e-03
5.599999999999999645e+00 1.945761753179839956e-03
5.599999999999999645e+00 1.945761753179839956e-03
5.599999999999999645e+00 1.945761753179839956e-03
5.599999999999999645e+00 1.945761753179839956e-03
6.400000000000000355e+00 1.945890245333379946e-03
6.400000000000000355e+00 1.945890245333379946e-03
6.400000000000000355e+00 1.945890245333379946e-03
6.400000000000000355e+00 1.945890245333379946e-03
7.200000000000000178e+00 1.946002260597990080e-03
7.200000000000000178e+00 1.946002260597990080e-03
7.200000000000000178e+00 1.946002260597990080e-03
7.200000000000000178e+00 1.946002260597990080e-03
8.000000000000000000e+00 1.946077632297040080e-03
8.000000000000000000e+00 1.946077632297040080e-03
8.000000000000000000e+00 1.946077632297040080e-03
8.000000000000000000e+00 1.946077632297040080e-03
8.800000000000000711e+00 1.946149546427100065e-03
8.800000000000000711e+00 1.946149546427100065e-03
8.800000000000000711e+00 1.946149546427100065e-03
8.800000000000000711e+00 1.946149546427100065e-03
9.599999999999999645e+00 1.946228699156759981e-03
9.599999999999999645e+00 1.946228699156759981e-03
9.599999999999999645e+00 1.946228699156759981e-03
9.599999999999999645e+00 1.946228699156759981e-03
1.040000000000000036e+01 1.946285510713939961e-03
1.040000000000000036e+01 1.946285510713939961e-03
1.040000000000000036e+01 1.946285510713939961e-03
1.040000000000000036e+01 1.946285510713939961e-03
1.119999999999999929e+01 1.946336656991880069e-03
1.119999999999999929e+01 1.946336656991880069e-03
1.119999999999999929e+01 1.946336656991880069e-03
1.119999999999999929e+01 1.946336656991880069e-03
1.200000000000000000e+01 1.946417006915690008e-03
1.200000000000000000e+01 1.946417006915690008e-03
1.200000000000000000e+01 1.946417006915690008e-03
1.200000000000000000e+01 1.946417006915690008e-03
1.280000000000000071e+01 1.946530257720830055e-03
1.280000000000000071e+01 1.946530257720830055e-03
1.280000000000000071e+01 1.946530257720830055e-03
1.280000000000000071e+01 1.946530257720830055e-03
1.359999999999999964e+01 1.946638500741820071e-03
1.359999999999999964e+01 1.946638500741820071e-03
1.359999999999999964e+01 1.946638500741820071e-03
1.359999999999999964e+01 1.946638500741820071e-03
1.440000000000000036e+01 1.946692499702610104e-03
1.440000000000000036e+01 1.946692499702610104e-03
1.440000000000000036e+01 1.946692499702610104e-03
1.440000000000000036e+01 1.946692499702610104e-03
1.519999999999999929e+01 1.946751690151609943e-03
1.519999999999999929e+01 1.946751690151609943e-03
1.519999999999999929e+01 1.946751690151609943e-03
1.519999999999999929e+01 1.946751690151609943e-03
1.600000000000000000e+01 1.946807830381520107e-03
1.600000000000000000e+01 1.946807830381520107e-03
1.600000000000000000e+01 1.946807830381520107e-03
1.600000000000000000e+01 1.946807830381520107e-03
1.680000000000000071e+01 1.946795112750079968e-03
1.680000000000000071e+01 1.946795112750079968e-03
1.680000000000000071e+01 1.946795112750079968e-03
1.680000000000000071e+01 1.946795112750079968e-03
1.760000000000000142e+01 1.946677598036260009e-03
1.760000000000000142e+01 1.946677598036260009e-03
1.760000000000000142e+01 1.946677598036260009e-03
1.760000000000000142e+01 1.946677598036260009e-03
1.839999999999999858e+01 1.946601720632800021e-03
1.839999999999999858e+01 1.946601720632800021e-03
1.839999999999999858e+01 1.946601720632800021e-03
1.839999999999999858e+01 1.946601720632800021e-03
1.919999999999999929e+01 1.946731439836959978e-03
1.919999999999999929e+01 1.946731439836959978e-03
1.919999999999999929e+01 1.946731439836959978e-03
1.919999999999999929e+01 1.946731439836959978e-03
2.000000000000000000e+01 1.946952699819069939e-03
2.000000000000000000e+01 1.946952699819069939e-03
2.000000000000000000e+01 1.946952699819069939e-03
2.000000000000000000e+01 1.946952699819069939e-03
2.080000000000000071e+01 1.947065848136969937e-03
2.080000000000000071e+01 1.947065848136969937e-03
2.080000000000000071e+01 1.947065848136969937e-03
2.080000000000000071e+01 1.947065848136969937e-03
