t lapse
0.000000000000000000e+00 6.061070982270849727e-01
0.000000000000000000e+00 6.061070982270849727e-01
0.000000000000000000e+00 6.061070982270849727e-01
0.000000000000000000e+00 6.061070982270849727e-01
3.200000000000000067e-01 6.060867153291830123e-01
3.200000000000000067e-01 6.060867153291830123e-01
3.200000000000000067e-01 6.060867153291830123e-01
3.200000000000000067e-01 6.060867153291830123e-01
6.400000000000000133e-01 6.060313139261499504e-01
6.400000000000000133e-01 6.060313139261499504e-01
6.400000000000000133e-01 6.060313139261499504e-01
6.400000000000000133e-01 6.060313139261499504e-01
9.599999999999999645e-01 6.059546636836780076e-01
9.599999999999999645e-01 6.059546636836780076e-01
9.599999999999999645e-01 6.059546636836780076e-01
9.599999999999999645e-01 6.059546636836780076e-01
1.280000000000000027e+00 6.058516146348099651e-01
1.280000000000000027e+00 6.058516146348099651e-01
1.280000000000000027e+00 6.058516146348099651e-01
1.280000000000000027e+00 6.058516146348099651e-01
1.600000000000000089e+00 6.057170718082099947e-01
1.600000000000000089e+00 6.057170718082099947e-01
1.600000000000000089e+00 6.057170718082099947e-01
1.600000000000000089e+00 6.057170718082099947e-01
1.919999999999999929e+00 6.055621547485839917e-01
1.919999999999999929e+00 6.055621547485839917e-01
1.919999999999999929e+00 6.055621547485839917e-01
1.919999999999999929e+00 6.055621547485839917e-01
2.240000000000000213e+00 6.053886209228299675e-01
2.240000000000000213e+00 6.053886209228299675e-01
2.240000000000000213e+00 6.053886209228299675e-01
2.240000000000000213e+00 6.053886209228299675e-01
2.560000000000000053e+00 6.051975254188359798e-01
2.560000000000000053e+00 6.051975254188359798e-01
2.560000000000000053e+00 6.051975254188359798e-01
2.560000000000000053e+00 6.051975254188359798e-01
2.879999999999999893e+00 6.049942614582829448e-01
2.879999999999999893e+00 6.049942614582829448e-01
2.879999999999999893e+00 6.049942614582829448e-01
2.879999999999999893e+00 6.049942614582829448e-01
3.200000000000000178e+00 6.047826157594119456e-01
3.200000000000000178e+00 6.047826157594119456e-01
3.200000000000000178e+00 6.047826157594119456e-01
3.200000000000000178e+00 6.047826157594119456e-01
3.520000000000000018e+00 6.045686526971110197e-01
3.520000000000000018e+00 6.045686526971110197e-01
3.520000000000000018e+00 6.045686526971110197e-01
3.520000000000000018e+00 6.045686526971110197e-01
3.839999999999999858e+00 6.043580253673770386e-01
3.839999999999999858e+00 6.043580253673770386e-01
3.839999999999999858e+00 6.043580253673770386e-01
3.839999999999999858e+00 6.043580253673770386e-01
4.160000000000000142e+00 6.041546061234189802e-01
4.160000000000000142e+00 6.041546061234189802e-01
4.160000000000000142e+00 6.041546061234189802e-01
4.160000000000000142e+00 6.041546061234189802e-01
4.480000000000000426e+00 6.039655511329949933e-01
4.480000000000000426e+00 6.039655511329949933e-01
4.480000000000000426e+00 6.039655511329949933e-01
4.480000000000000426e+00 6.039655511329949933e-01
4.799999999999999822e+00 6.037963952442230164e-01
4.799999999999999822e+00 6.037963952442230164e-01
4.799999999999999822e+00 6.037963952442230164e-01
4.799999999999999822e+00 6.037963952442230164e-01
5.120000000000000107e+00 6.036588837378099592e-01
5.120000000000000107e+00 6.036588837378099592e-01
5.120000000000000107e+00 6.036588837378099592e-01
5.120000000000000107e+00 6.036588837378099592e-01
5.440000000000000391e+00 6.035516137223230215e-01
5.440000000000000391e+00 6.035516137223230215e-01
5.440000000000000391e+00 6.035516137223230215e-01
5.440000000000000391e+00 6.035516137223230215e-01
5.759999999999999787e+00 6.034682652734330022e-01
5.759999999999999787e+00 6.034682652734330022e-01
5.759999999999999787e+00 6.034682652734330022e-01
5.759999999999999787e+00 6.034682652734330022e-01
6.080000000000000071e+00 6.034035257042189571e-01
6.080000000000000071e+00 6.034035257042189571e-01
6.080000000000000071e+00 6.034035257042189571e-01
6.080000000000000071e+00 6.034035257042189571e-01
6.400000000000000355e+00 6.033489223740480245e-01
6.400000000000000355e+00 6.033489223740480245e-01
6.400000000000000355e+00 6.033489223740480245e-01
6.400000000000000355e+00 6.033489223740480245e-01
6.719999999999999751e+00 6.033034357744430087e-01
6.719999999999999751e+00 6.033034357744430087e-01
6.719999999999999751e+00 6.033034357744430087e-01
6.719999999999999751e+00 6.033034357744430087e-01
7.040000000000000036e+00 6.032618523775390429e-01
7.040000000000000036e+00 6.032618523775390429e-01
7.040000000000000036e+00 6.032618523775390429e-01
7.040000000000000036e+00 6.032618523775390429e-01
7.360000000000000320e+00 6.032181880927850459e-01
7.360000000000000320e+00 6.032181880927850459e-01
7.360000000000000320e+00 6.032181880927850459e-01
7.360000000000000320e+00 6.032181880927850459e-01
7.679999999999999716e+00 6.031724227446599862e-01
7.679999999999999716e+00 6.031724227446599862e-01
7.679999999999999716e+00 6.031724227446599862e-01
7.679999999999999716e+00 6.031724227446599862e-01
8.000000000000000000e+00 6.031201793675770029e-01
8.000000000000000000e+00 6.031201793675770029e-01
8.000000000000000000e+00 6.031201793675770029e-01
8.000000000000000000e+00 6.031201793675770029e-01
8.320000000000000284e+00 6.030621218779790293e-01
8.320000000000000284e+00 6.030621218779790293e-01
8.320000000000000284e+00 6.030621218779790293e-01
8.320000000000000284e+00 6.030621218779790293e-01
8.640000000000000568e+00 6.029968112001790059e-01
8.640000000000000568e+00 6.029968112001790059e-01
8.640000000000000568e+00 6.029968112001790059e-01
8.640000000000000568e+00 6.029968112001790059e-01
8.960000000000000853e+00 6.029088696894999710e-01
8.960000000000000853e+00 6.029088696894999710e-01
8.960000000000000853e+00 6.029088696894999710e-01
8.960000000000000853e+00 6.029088696894999710e-01
9.279999999999999361e+00 6.027884473013209732e-01
9.279999999999999361e+00 6.027884473013209732e-01
9.279999999999999361e+00 6.027884473013209732e-01
9.279999999999999361e+00 6.027884473013209732e-01
9.599999999999999645e+00 6.026673254471830443e-01
9.599999999999999645e+00 6.026673254471830443e-01
9.599999999999999645e+00 6.026673254471830443e-01
9.599999999999999645e+00 6.026673254471830443e-01
9.919999999999999929e+00 6.025432983914860152e-01
9.919999999999999929e+00 6.025432983914860152e-01
9.919999999999999929e+00 6.025432983914860152e-01
9.919999999999999929e+00 6.025432983914860152e-01
1.024000000000000021e+01 6.024226870462540129e-01
1.024000000000000021e+01 6.024226870462540129e-01
1.024000000000000021e+01 6.024226870462540129e-01
1.024000000000000021e+01 6.024226870462540129e-01
1.056000000000000050e+01 6.023081618343799626e-01
1.056000000000000050e+01 6.023081618343799626e-01
1.056000000000000050e+01 6.023081618343799626e-01
1.056000000000000050e+01 6.023081618343799626e-01
1.088000000000000078e+01 6.022030272116409844e-01
1.088000000000000078e+01 6.022030272116409844e-01
1.088000000000000078e+01 6.022030272116409844e-01
1.088000000000000078e+01 6.022030272116409844e-01
1.119999999999999929e+01 6.021140386990260218e-01
1.119999999999999929e+01 6.021140386990260218e-01
1.119999999999999929e+01 6.021140386990260218e-01
1.119999999999999929e+01 6.021140386990260218e-01
1.151999999999999957e+01 6.020447955637100446e-01
1.151999999999999957e+01 6.020447955637100446e-01
1.151999999999999957e+01 6.020447955637100446e-01
1.151999999999999957e+01 6.020447955637100446e-01
1.183999999999999986e+01 6.019892093653209653e-01
1.183999999999999986e+01 6.019892093653209653e-01
1.183999999999999986e+01 6.019892093653209653e-01
1.183999999999999986e+01 6.019892093653209653e-01
1.216000000000000014e+01 6.019399077635599893e-01
1.216000000000000014e+01 6.019399077635599893e-01
1.216000000000000014e+01 6.019399077635599893e-01
1.216000000000000014e+01 6.019399077635599893e-01
1.248000000000000043e+01 6.018960717994910059e-01
1.248000000000000043e+01 6.018960717994910059e-01
1.248000000000000043e+01 6.018960717994910059e-01
1.248000000000000043e+01 6.018960717994910059e-01
1.280000000000000071e+01 6.018414453030219713e-01
1.280000000000000071e+01 6.018414453030219713e-01
1.280000000000000071e+01 6.018414453030219713e-01
1.280000000000000071e+01 6.018414453030219713e-01
1.311999999999999922e+01 6.017340692184169892e-01
1.311999999999999922e+01 6.017340692184169892e-01
1.311999999999999922e+01 6.017340692184169892e-01
1.311999999999999922e+01 6.017340692184169892e-01
1.343999999999999950e+01 6.015735554054769674e-01
1.343999999999999950e+01 6.015735554054769674e-01
1.343999999999999950e+01 6.015735554054769674e-01
1.343999999999999950e+01 6.015735554054769674e-01
1.375999999999999979e+01 6.014530764600309887e-01
1.375999999999999979e+01 6.014530764600309887e-01
1.375999999999999979e+01 6.014530764600309887e-01
1.375999999999999979e+01 6.014530764600309887e-01
1.408000000000000007e+01 6.014233498371409636e-01
1.408000000000000007e+01 6.014233498371409636e-01
1.408000000000000007e+01 6.014233498371409636e-01
1.408000000000000007e+01 6.014233498371409636e-01
1.440000000000000036e+01 6.014263862084909817e-01
1.440000000000000036e+01 6.014263862084909817e-01
1.440000000000000036e+01 6.014263862084909817e-01
1.440000000000000036e+01 6.014263862084909817e-01
1.472000000000000064e+01 6.014529949416580479e-01
1.472000000000000064e+01 6.014529949416580479e-01
