t phi
2.500000000000000000e-01 1.780750306099609936e-01
2.500000000000000000e-01 1.780750306099609936e-01
2.500000000000000000e-01 1.780750306099609936e-01
5.000000000000000000e-01 1.780751345647109962e-01
5.000000000000000000e-01 1.780751345647109962e-01
5.000000000000000000e-01 1.780751345647109962e-01
7.500000000000000000e-01 1.780752728689589948e-01
7.500000000000000000e-01 1.780752728689589948e-01
7.500000000000000000e-01 1.780752728689589948e-01
1.000000000000000000e+00 1.780747877588740036e-01
1.000000000000000000e+00 1.780747877588740036e-01
1.000000000000000000e+00 1.780747877588740036e-01
1.250000000000000000e+00 1.780747072104910123e-01
1.250000000000000000e+00 1.780747072104910123e-01
1.250000000000000000e+00 1.780747072104910123e-01
1.500000000000000000e+00 1.780748398819320122e-01
1.500000000000000000e+00 1.780748398819320122e-01
1.500000000000000000e+00 1.780748398819320122e-01
1.750000000000000000e+00 1.780755287013399968e-01
1.750000000000000000e+00 1.780755287013399968e-01
1.750000000000000000e+00 1.780755287013399968e-01
2.000000000000000000e+00 1.780757224627350088e-01
2.000000000000000000e+00 1.780757224627350088e-01
2.000000000000000000e+00 1.780757224627350088e-01
2.250000000000000000e+00 1.780751530871330091e-01
2.250000000000000000e+00 1.780751530871330091e-01
2.250000000000000000e+00 1.780751530871330091e-01
2.500000000000000000e+00 1.780754481851269944e-01
2.500000000000000000e+00 1.780754481851269944e-01
2.500000000000000000e+00 1.780754481851269944e-01
2.750000000000000000e+00 1.780756273228490116e-01
2.750000000000000000e+00 1.780756273228490116e-01
2.750000000000000000e+00 1.780756273228490116e-01
3.000000000000000000e+00 1.780748530823859921e-01
3.000000000000000000e+00 1.780748530823859921e-01
3.000000000000000000e+00 1.780748530823859921e-01
3.250000000000000000e+00 1.780749959208899891e-01
3.250000000000000000e+00 1.780749959208899891e-01
3.250000000000000000e+00 1.780749959208899891e-01
3.500000000000000000e+00 1.780758783998279970e-01
3.500000000000000000e+00 1.780758783998279970e-01
3.500000000000000000e+00 1.780758783998279970e-01
3.750000000000000000e+00 1.780757261331269992e-01
3.750000000000000000e+00 1.780757261331269992e-01
3.750000000000000000e+00 1.780757261331269992e-01
4.000000000000000000e+00 1.780752375690249911e-01
4.000000000000000000e+00 1.780752375690249911e-01
4.000000000000000000e+00 1.780752375690249911e-01
4.250000000000000000e+00 1.780755351512749995e-01
4.250000000000000000e+00 1.780755351512749995e-01
4.250000000000000000e+00 1.780755351512749995e-01
4.500000000000000000e+00 1.780759045800409945e-01
4.500000000000000000e+00 1.780759045800409945e-01
4.500000000000000000e+00 1.780759045800409945e-01
4.750000000000000000e+00 1.780757267007820055e-01
