t phi
9.599999999999999645e-01 -6.464686997903360544e-01
9.599999999999999645e-01 -6.464686997903360544e-01
9.599999999999999645e-01 -6.464686997903360544e-01
9.599999999999999645e-01 -6.464686997903360544e-01
9.599999999999999645e-01 -6.464686997903360544e-01
1.919999999999999929e+00 -6.464703571453389586e-01
1.919999999999999929e+00 -6.464703571453389586e-01
1.919999999999999929e+00 -6.464703571453389586e-01
1.919999999999999929e+00 -6.464703571453389586e-01
1.919999999999999929e+00 -6.464703571453389586e-01
2.879999999999999893e+00 -6.464748218416890291e-01
2.879999999999999893e+00 -6.464748218416890291e-01
2.879999999999999893e+00 -6.464748218416890291e-01
2.879999999999999893e+00 -6.464748218416890291e-01
2.879999999999999893e+00 -6.464748218416890291e-01
3.839999999999999858e+00 -6.464737909229320012e-01
3.839999999999999858e+00 -6.464737909229320012e-01
3.839999999999999858e+00 -6.464737909229320012e-01
3.839999999999999858e+00 -6.464737909229320012e-01
3.839999999999999858e+00 -6.464737909229320012e-01
4.799999999999999822e+00 -6.464693545376849482e-01
4.799999999999999822e+00 -6.464693545376849482e-01
4.799999999999999822e+00 -6.464693545376849482e-01
4.799999999999999822e+00 -6.464693545376849482e-01
4.799999999999999822e+00 -6.464693545376849482e-01
5.759999999999999787e+00 -6.464702218225789609e-01
5.759999999999999787e+00 -6.464702218225789609e-01
5.759999999999999787e+00 -6.464702218225789609e-01
5.759999999999999787e+00 -6.464702218225789609e-01
5.759999999999999787e+00 -6.464702218225789609e-01
6.719999999999999751e+00 -6.464712862986580211e-01
6.719999999999999751e+00 -6.464712862986580211e-01
6.719999999999999751e+00 -6.464712862986580211e-01
6.719999999999999751e+00 -6.464712862986580211e-01
6.719999999999999751e+00 -6.464712862986580211e-01
7.679999999999999716e+00 -6.464684676146380538e-01
7.679999999999999716e+00 -6.464684676146380538e-01
7.679999999999999716e+00 -6.464684676146380538e-01
7.679999999999999716e+00 -6.464684676146380538e-01
7.679999999999999716e+00 -6.464684676146380538e-01
8.640000000000000568e+00 -6.464615661099220034e-01
8.640000000000000568e+00 -6.464615661099220034e-01
8.640000000000000568e+00 -6.464615661099220034e-01
8.640000000000000568e+00 -6.464615661099220034e-01
8.640000000000000568e+00 -6.464615661099220034e-01
9.599999999999999645e+00 -6.464596886257699682e-01
9.599999999999999645e+00 -6.464596886257699682e-01
9.599999999999999645e+00 -6.464596886257699682e-01
9.599999999999999645e+00 -6.464596886257699682e-01
9.599999999999999645e+00 -6.464596886257699682e-01
1.056000000000000050e+01 -6.464582793258990545e-01
1.056000000000000050e+01 -6.464582793258990545e-01
1.056000000000000050e+01 -6.464582793258990545e-01
1.056000000000000050e+01 -6.464582793258990545e-01
1.056000000000000050e+01 -6.464582793258990545e-01
1.151999999999999957e+01 -6.464530173302149851e-01
1.151999999999999957e+01 -6.464530173302149851e-01
1.151999999999999957e+01 -6.464530173302149851e-01
1.151999999999999957e+01 -6.464530173302149851e-01
1.151999999999999957e+01 -6.464530173302149851e-01
1.248000000000000043e+01 -6.464509941512389668e-01
1.248000000000000043e+01 -6.464509941512389668e-01
1.248000000000000043e+01 -6.464509941512389668e-01
1.248000000000000043e+01 -6.464509941512389668e-01
1.248000000000000043e+01 -6.464509941512389668e-01
1.343999999999999950e+01 -6.464491192520930296e-01
1.343999999999999950e+01 -6.464491192520930296e-01
1.343999999999999950e+01 -6.464491192520930296e-01
1.343999999999999950e+01 -6.464491192520930296e-01
