t phi
4.000000000000000000e+00 -7.026525182538819747e-01
4.000000000000000000e+00 -7.026525182538819747e-01
4.000000000000000000e+00 -7.026525182538819747e-01
4.000000000000000000e+00 -7.026525182538819747e-01
4.000000000000000000e+00 -7.026525182538819747e-01
4.000000000000000000e+00 -7.026525182538819747e-01
4.000000000000000000e+00 -7.026525182538819747e-01
8.000000000000000000e+00 -7.075550673192150253e-01
8.000000000000000000e+00 -7.075550673192150253e-01
8.000000000000000000e+00 -7.075550673192150253e-01
8.000000000000000000e+00 -7.075550673192150253e-01
8.000000000000000000e+00 -7.075550673192150253e-01
8.000000000000000000e+00 -7.075550673192150253e-01
8.000000000000000000e+00 -7.075550673192150253e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.200000000000000000e+01 -7.118292065722050532e-01
1.600000000000000000e+01 -7.139586820738950124e-01
1.600000000000000000e+01 -7.139586820738950124e-01
1.600000000000000000e+01 -7.139586820738950124e-01
1.600000000000000000e+01 -7.139586820738950124e-01
1.600000000000000000e+01 -7.139586820738950124e-01
1.600000000000000000e+01 -7.139586820738950124e-01
1.600000000000000000e+01 -7.139586820738950124e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.000000000000000000e+01 -7.150855971508339737e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.400000000000000000e+01 -7.158925170318769515e-01
2.800000000000000000e+01 -7.162030640250820479e-01
2.800000000000000000e+01 -7.162030640250820479e-01
2.800000000000000000e+01 -7.162030640250820479e-01
2.800000000000000000e+01 -7.162030640250820479e-01
2.800000000000000000e+01 -7.162030640250820479e-01
2.800000000000000000e+01 -7.162030640250820479e-01
2.800000000000000000e+01 -7.162030640250820479e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.200000000000000000e+01 -7.158583938257619961e-01
3.600000000000000000e+01 -7.147862469699449717e-01
3.600000000000000000e+01 -7.147862469699449717e-01
3.600000000000000000e+01 -7.147862469699449717e-01
3.600000000000000000e+01 -7.147862469699449717e-01
3.600000000000000000e+01 -7.147862469699449717e-01
3.600000000000000000e+01 -7.147862469699449717e-01
3.600000000000000000e+01 -7.147862469699449717e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.000000000000000000e+01 -7.128285813908270541e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.400000000000000000e+01 -7.098905537595580073e-01
4.800000000000000000e+01 -7.062129218786670215e-01
4.800000000000000000e+01 -7.062129218786670215e-01
4.800000000000000000e+01 -7.062129218786670215e-01
4.800000000000000000e+01 -7.062129218786670215e-01
4.800000000000000000e+01 -7.062129218786670215e-01
4.800000000000000000e+01 -7.062129218786670215e-01
4.800000000000000000e+01 -7.062129218786670215e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.200000000000000000e+01 -7.019811150672160549e-01
5.600000000000000000e+01 -6.972286493828040443e-01
5.600000000000000000e+01 -6.972286493828040443e-01
5.600000000000000000e+01 -6.972286493828040443e-01
5.600000000000000000e+01 -6.972286493828040443e-01
5.600000000000000000e+01 -6.972286493828040443e-01
5.600000000000000000e+01 -6.972286493828040443e-01
5.600000000000000000e+01 -6.972286493828040443e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.000000000000000000e+01 -6.921047455538530402e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.400000000000000000e+01 -6.867524454799359690e-01
6.800000000000000000e+01 -6.812263858474489897e-01
6.800000000000000000e+01 -6.812263858474489897e-01
6.800000000000000000e+01 -6.812263858474489897e-01
6.800000000000000000e+01 -6.812263858474489897e-01
6.800000000000000000e+01 -6.812263858474489897e-01
6.800000000000000000e+01 -6.812263858474489897e-01
6.800000000000000000e+01 -6.812263858474489897e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.200000000000000000e+01 -6.755201841727019874e-01
7.600000000000000000e+01 -6.696270269897089955e-01
7.600000000000000000e+01 -6.696270269897089955e-01
7.600000000000000000e+01 -6.696270269897089955e-01
7.600000000000000000e+01 -6.696270269897089955e-01
7.600000000000000000e+01 -6.696270269897089955e-01
7.600000000000000000e+01 -6.696270269897089955e-01
7.600000000000000000e+01 -6.696270269897089955e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.000000000000000000e+01 -6.635268569497919655e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.400000000000000000e+01 -6.571088685477399771e-01
8.800000000000000000e+01 -6.502674333049129896e-01
8.800000000000000000e+01 -6.502674333049129896e-01
8.800000000000000000e+01 -6.502674333049129896e-01
8.800000000000000000e+01 -6.502674333049129896e-01
8.800000000000000000e+01 -6.502674333049129896e-01
8.800000000000000000e+01 -6.502674333049129896e-01
8.800000000000000000e+01 -6.502674333049129896e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.200000000000000000e+01 -6.428557629590370137e-01
9.600000000000000000e+01 -6.347849342068999645e-01
9.600000000000000000e+01 -6.347849342068999645e-01
9.600000000000000000e+01 -6.347849342068999645e-01
9.600000000000000000e+01 -6.347849342068999645e-01
9.600000000000000000e+01 -6.347849342068999645e-01
9.600000000000000000e+01 -6.347849342068999645e-01
9.600000000000000000e+01 -6.347849342068999645e-01
1.000000000000000000e+02 -6.259075873758269681e-01
1.000000000000000000e+02 -6.259075873758269681e-01
1.000000000000000000e+02 -6.259075873758269681e-01
1.000000000000000000e+02 -6.259075873758269681e-01
1.000000000000000000e+02 -6.259075873758269681e-01
