t rho
0.000000000000000000e+00 2.047674264063970104e-03
0.000000000000000000e+00 2.047674264063970104e-03
0.000000000000000000e+00 2.047674264063970104e-03
0.000000000000000000e+00 2.047674264063970104e-03
4.799999999999999822e-01 2.047681976552689822e-03
4.799999999999999822e-01 2.047681976552689822e-03
4.799999999999999822e-01 2.047681976552689822e-03
4.799999999999999822e-01 2.047681976552689822e-03
9.599999999999999645e-01 2.047688794923780212e-03
9.599999999999999645e-01 2.047688794923780212e-03
9.599999999999999645e-01 2.047688794923780212e-03
9.599999999999999645e-01 2.047688794923780212e-03
1.439999999999999947e+00 2.047697100445020155e-03
1.439999999999999947e+00 2.047697100445020155e-03
1.439999999999999947e+00 2.047697100445020155e-03
1.439999999999999947e+00 2.047697100445020155e-03
1.919999999999999929e+00 2.047715769103970046e-03
1.919999999999999929e+00 2.047715769103970046e-03
1.919999999999999929e+00 2.047715769103970046e-03
1.919999999999999929e+00 2.047715769103970046e-03
2.399999999999999911e+00 2.047742452191290020e-03
2.399999999999999911e+00 2.047742452191290020e-03
2.399999999999999911e+00 2.047742452191290020e-03
2.399999999999999911e+00 2.047742452191290020e-03
2.879999999999999893e+00 2.047771069573500052e-03
2.879999999999999893e+00 2.047771069573500052e-03
2.879999999999999893e+00 2.047771069573500052e-03
2.879999999999999893e+00 2.047771069573500052e-03
3.359999999999999876e+00 2.047802497612839865e-03
3.359999999999999876e+00 2.047802497612839865e-03
3.359999999999999876e+00 2.047802497612839865e-03
3.359999999999999876e+00 2.047802497612839865e-03
3.839999999999999858e+00 2.047832482545270099e-03
3.839999999999999858e+00 2.047832482545270099e-03
3.839999999999999858e+00 2.047832482545270099e-03
3.839999999999999858e+00 2.047832482545270099e-03
4.320000000000000284e+00 2.047863294834520106e-03
4.320000000000000284e+00 2.047863294834520106e-03
4.320000000000000284e+00 2.047863294834520106e-03
4.320000000000000284e+00 2.047863294834520106e-03
4.799999999999999822e+00 2.047896545592810084e-03
4.799999999999999822e+00 2.047896545592810084e-03
4.799999999999999822e+00 2.047896545592810084e-03
4.799999999999999822e+00 2.047896545592810084e-03
5.280000000000000249e+00 2.047930732929120062e-03
5.280000000000000249e+00 2.047930732929120062e-03
5.280000000000000249e+00 2.047930732929120062e-03
5.280000000000000249e+00 2.047930732929120062e-03
5.759999999999999787e+00 2.047969331891449831e-03
5.759999999999999787e+00 2.047969331891449831e-03
5.759999999999999787e+00 2.047969331891449831e-03
5.759999999999999787e+00 2.047969331891449831e-03
6.240000000000000213e+00 2.048007957351989910e-03
6.240000000000000213e+00 2.048007957351989910e-03
6.240000000000000213e+00 2.048007957351989910e-03
6.240000000000000213e+00 2.048007957351989910e-03
6.719999999999999751e+00 2.048043017329150093e-03
6.719999999999999751e+00 2.048043017329150093e-03
6.719999999999999751e+00 2.048043017329150093e-03
6.719999999999999751e+00 2.048043017329150093e-03
7.200000000000000178e+00 2.048079500355830078e-03
7.200000000000000178e+00 2.048079500355830078e-03
7.200000000000000178e+00 2.048079500355830078e-03
7.200000000000000178e+00 2.048079500355830078e-03
7.679999999999999716e+00 2.048112729544949995e-03
7.679999999999999716e+00 2.048112729544949995e-03
7.679999999999999716e+00 2.048112729544949995e-03
7.679999999999999716e+00 2.048112729544949995e-03
8.160000000000000142e+00 2.048142153409939891e-03
8.160000000000000142e+00 2.048142153409939891e-03
8.160000000000000142e+00 2.048142153409939891e-03
8.160000000000000142e+00 2.048142153409939891e-03
8.640000000000000568e+00 2.048174011805470058e-03
8.640000000000000568e+00 2.048174011805470058e-03
8.640000000000000568e+00 2.048174011805470058e-03
8.640000000000000568e+00 2.048174011805470058e-03
9.119999999999999218e+00 2.048194665967039904e-03
9.119999999999999218e+00 2.048194665967039904e-03
9.119999999999999218e+00 2.048194665967039904e-03
9.119999999999999218e+00 2.048194665967039904e-03
9.599999999999999645e+00 2.048198384315850183e-03
9.599999999999999645e+00 2.048198384315850183e-03
9.599999999999999645e+00 2.048198384315850183e-03
9.599999999999999645e+00 2.048198384315850183e-03
1.008000000000000007e+01 2.048206453852439903e-03
1.008000000000000007e+01 2.048206453852439903e-03
1.008000000000000007e+01 2.048206453852439903e-03
1.008000000000000007e+01 2.048206453852439903e-03
1.056000000000000050e+01 2.048231677596740186e-03
1.056000000000000050e+01 2.048231677596740186e-03
1.056000000000000050e+01 2.048231677596740186e-03
1.056000000000000050e+01 2.048231677596740186e-03
1.103999999999999915e+01 2.048282466073720210e-03
1.103999999999999915e+01 2.048282466073720210e-03
1.103999999999999915e+01 2.048282466073720210e-03
1.103999999999999915e+01 2.048282466073720210e-03
1.151999999999999957e+01 2.048350086302659894e-03
1.151999999999999957e+01 2.048350086302659894e-03
1.151999999999999957e+01 2.048350086302659894e-03
1.151999999999999957e+01 2.048350086302659894e-03
1.200000000000000000e+01 2.048407174189420185e-03
1.200000000000000000e+01 2.048407174189420185e-03
1.200000000000000000e+01 2.048407174189420185e-03
1.200000000000000000e+01 2.048407174189420185e-03
1.248000000000000043e+01 2.048441310179130014e-03
1.248000000000000043e+01 2.048441310179130014e-03
1.248000000000000043e+01 2.048441310179130014e-03
1.248000000000000043e+01 2.048441310179130014e-03
1.296000000000000085e+01 2.048462385170130191e-03
1.296000000000000085e+01 2.048462385170130191e-03
1.296000000000000085e+01 2.048462385170130191e-03
1.296000000000000085e+01 2.048462385170130191e-03
1.343999999999999950e+01 2.048478415639249858e-03
1.343999999999999950e+01 2.048478415639249858e-03
1.343999999999999950e+01 2.048478415639249858e-03
1.343999999999999950e+01 2.048478415639249858e-03
1.391999999999999993e+01 2.048489827703280173e-03
1.391999999999999993e+01 2.048489827703280173e-03
1.391999999999999993e+01 2.048489827703280173e-03
1.391999999999999993e+01 2.048489827703280173e-03
1.440000000000000036e+01 2.048497234171129788e-03
1.440000000000000036e+01 2.048497234171129788e-03
1.440000000000000036e+01 2.048497234171129788e-03
1.440000000000000036e+01 2.048497234171129788e-03
1.488000000000000078e+01 2.048511290275559921e-03
1.488000000000000078e+01 2.048511290275559921e-03
1.488000000000000078e+01 2.048511290275559921e-03
1.488000000000000078e+01 2.048511290275559921e-03
1.535999999999999943e+01 2.048541903830569926e-03
1.535999999999999943e+01 2.048541903830569926e-03
1.535999999999999943e+01 2.048541903830569926e-03
1.535999999999999943e+01 2.048541903830569926e-03
1.583999999999999986e+01 2.048583954756559924e-03
1.583999999999999986e+01 2.048583954756559924e-03
1.583999999999999986e+01 2.048583954756559924e-03
1.583999999999999986e+01 2.048583954756559924e-03
1.632000000000000028e+01 2.048624118182049841e-03
1.632000000000000028e+01 2.048624118182049841e-03
1.632000000000000028e+01 2.048624118182049841e-03
1.632000000000000028e+01 2.048624118182049841e-03
1.680000000000000071e+01 2.048659994776659901e-03
1.680000000000000071e+01 2.048659994776659901e-03
1.680000000000000071e+01 2.048659994776659901e-03
1.680000000000000071e+01 2.048659994776659901e-03
1.728000000000000114e+01 2.048692551721869974e-03
1.728000000000000114e+01 2.048692551721869974e-03
1.728000000000000114e+01 2.048692551721869974e-03
1.728000000000000114e+01 2.048692551721869974e-03
1.776000000000000156e+01 2.048717610550099873e-03
1.776000000000000156e+01 2.048717610550099873e-03
1.776000000000000156e+01 2.048717610550099873e-03
1.776000000000000156e+01 2.048717610550099873e-03
1.823999999999999844e+01 2.048738184447030167e-03
1.823999999999999844e+01 2.048738184447030167e-03
1.823999999999999844e+01 2.048738184447030167e-03
1.823999999999999844e+01 2.048738184447030167e-03
1.871999999999999886e+01 2.048763591423149923e-03
1.871999999999999886e+01 2.048763591423149923e-03
1.871999999999999886e+01 2.048763591423149923e-03
1.871999999999999886e+01 2.048763591423149923e-03
1.919999999999999929e+01 2.048797807714520039e-03
1.919999999999999929e+01 2.048797807714520039e-03
1.919999999999999929e+01 2.048797807714520039e-03
1.919999999999999929e+01 2.048797807714520039e-03
1.967999999999999972e+01 2.048842459962430061e-03
1.967999999999999972e+01 2.048842459962430061e-03
1.967999999999999972e+01 2.048842459962430061e-03
1.967999999999999972e+01 2.048842459962430061e-03
2.016000000000000014e+01 2.048904455905159808e-03
2.016000000000000014e+01 2.048904455905159808e-03
2.016000000000000014e+01 2.048904455905159808e-03
2.016000000000000014e+01 2.048904455905159808e-03
2.064000000000000057e+01 2.048992929227359903e-03
2.064000000000000057e+01 2.048992929227359903e-03
2.064000000000000057e+01 2.048992929227359903e-03
2.064000000000000057e+01 2.048992929227359903e-03
2.112000000000000099e+01 2.049116957817270074e-03
2.112000000000000099e+01 2.049116957817270074e-03
2.112000000000000099e+01 2.049116957817270074e-03
2.112000000000000099e+01 2.049116957817270074e-03
2.160000000000000142e+01 2.049286376315320041e-03
2.160000000000000142e+01 2.049286376315320041e-03
2.160000000000000142e+01 2.049286376315320041e-03
2.160000000000000142e+01 2.049286376315320041e-03
2.207999999999999829e+01 2.049505108767809940e-03
2.207999999999999829e+01 2.049505108767809940e-03
2.207999999999999829e+01 2.049505108767809940e-03
2.207999999999999829e+01 2.049505108767809940e-03
2.255999999999999872e+01 2.049756413721369897e-03
2.255999999999999872e+01 2.049756413721369897e-03
2.255999999999999872e+01 2.049756413721369897e-03
2.255999999999999872e+01 2.049756413721369897e-03
2.303999999999999915e+01 2.050001066108880169e-03
2.303999999999999915e+01 2.050001066108880169e-03
2.303999999999999915e+01 2.050001066108880169e-03
2.303999999999999915e+01 2.050001066108880169e-03
2.351999999999999957e+01 2.050180148277100205e-03
2.351999999999999957e+01 2.050180148277100205e-03
2.351999999999999957e+01 2.050180148277100205e-03
2.351999999999999957e+01 2.050180148277100205e-03
2.400000000000000000e+01 2.050187041702949877e-03
