t ml_ham
0.000000000000000000e+00 -1.034245312508240032e-03
0.000000000000000000e+00 -1.034245312508240032e-03
0.000000000000000000e+00 -1.034245312508240032e-03
3.200000000000000067e-01 -9.995992460786779377e-04
3.200000000000000067e-01 -9.995992460786779377e-04
3.200000000000000067e-01 -9.995992460786779377e-04
6.400000000000000133e-01 -9.633234313081920483e-04
6.400000000000000133e-01 -9.633234313081920483e-04
6.400000000000000133e-01 -9.633234313081920483e-04
9.599999999999999645e-01 -8.947830473640970344e-04
9.599999999999999645e-01 -8.947830473640970344e-04
9.599999999999999645e-01 -8.947830473640970344e-04
1.280000000000000027e+00 -1.045348813585489974e-03
1.280000000000000027e+00 -1.045348813585489974e-03
1.280000000000000027e+00 -1.045348813585489974e-03
1.600000000000000089e+00 -7.508733782689180252e-04
1.600000000000000089e+00 -7.508733782689180252e-04
1.600000000000000089e+00 -7.508733782689180252e-04
1.919999999999999929e+00 -7.681189215157230299e-04
1.919999999999999929e+00 -7.681189215157230299e-04
1.919999999999999929e+00 -7.681189215157230299e-04
2.240000000000000213e+00 -9.319333213039629514e-04
2.240000000000000213e+00 -9.319333213039629514e-04
2.240000000000000213e+00 -9.319333213039629514e-04
2.560000000000000053e+00 -9.242629065378839531e-04
2.560000000000000053e+00 -9.242629065378839531e-04
2.560000000000000053e+00 -9.242629065378839531e-04
2.879999999999999893e+00 -5.840297926326139645e-04
2.879999999999999893e+00 -5.840297926326139645e-04
2.879999999999999893e+00 -5.840297926326139645e-04
3.200000000000000178e+00 -6.447119933095789724e-04
3.200000000000000178e+00 -6.447119933095789724e-04
3.200000000000000178e+00 -6.447119933095789724e-04
3.520000000000000018e+00 -9.444704361172560122e-04
3.520000000000000018e+00 -9.444704361172560122e-04
3.520000000000000018e+00 -9.444704361172560122e-04
3.839999999999999858e+00 -5.804961903511230000e-04
3.839999999999999858e+00 -5.804961903511230000e-04
3.839999999999999858e+00 -5.804961903511230000e-04
4.160000000000000142e+00 -7.007185940227619913e-04
4.160000000000000142e+00 -7.007185940227619913e-04
4.160000000000000142e+00 -7.007185940227619913e-04
4.480000000000000426e+00 -5.609876938325990010e-04
4.480000000000000426e+00 -5.609876938325990010e-04
4.480000000000000426e+00 -5.609876938325990010e-04
4.799999999999999822e+00 -5.001016993729070007e-04
4.799999999999999822e+00 -5.001016993729070007e-04
4.799999999999999822e+00 -5.001016993729070007e-04
5.120000000000000107e+00 -6.696984916776699704e-04
5.120000000000000107e+00 -6.696984916776699704e-04
5.120000000000000107e+00 -6.696984916776699704e-04
5.440000000000000391e+00 -5.145144188562999999e-04
5.440000000000000391e+00 -5.145144188562999999e-04
5.440000000000000391e+00 -5.145144188562999999e-04
5.759999999999999787e+00 -5.404068094914729874e-04
5.759999999999999787e+00 -5.404068094914729874e-04
5.759999999999999787e+00 -5.404068094914729874e-04
6.080000000000000071e+00 -3.498893694966779752e-04
6.080000000000000071e+00 -3.498893694966779752e-04
6.080000000000000071e+00 -3.498893694966779752e-04
6.400000000000000355e+00 -2.776140960400599943e-04
