t rho
3.200000000000000067e-01 2.000005488690859926e-03
3.200000000000000067e-01 2.000005488690859926e-03
3.200000000000000067e-01 2.000005488690859926e-03
6.400000000000000133e-01 2.000012503853120047e-03
6.400000000000000133e-01 2.000012503853120047e-03
6.400000000000000133e-01 2.000012503853120047e-03
9.599999999999999645e-01 2.000030396508199835e-03
9.599999999999999645e-01 2.000030396508199835e-03
9.599999999999999645e-01 2.000030396508199835e-03
1.280000000000000027e+00 2.000050911868390003e-03
1.280000000000000027e+00 2.000050911868390003e-03
1.280000000000000027e+00 2.000050911868390003e-03
1.600000000000000089e+00 2.000080427782339933e-03
1.600000000000000089e+00 2.000080427782339933e-03
1.600000000000000089e+00 2.000080427782339933e-03
1.919999999999999929e+00 2.000116719891319866e-03
1.919999999999999929e+00 2.000116719891319866e-03
1.919999999999999929e+00 2.000116719891319866e-03
2.240000000000000213e+00 2.000155016294179969e-03
2.240000000000000213e+00 2.000155016294179969e-03
2.240000000000000213e+00 2.000155016294179969e-03
2.560000000000000053e+00 2.000201710211329913e-03
2.560000000000000053e+00 2.000201710211329913e-03
2.560000000000000053e+00 2.000201710211329913e-03
2.879999999999999893e+00 2.000248200563110000e-03
2.879999999999999893e+00 2.000248200563110000e-03
2.879999999999999893e+00 2.000248200563110000e-03
3.200000000000000178e+00 2.000298017908480001e-03
3.200000000000000178e+00 2.000298017908480001e-03
3.200000000000000178e+00 2.000298017908480001e-03
3.520000000000000018e+00 2.000353163153109799e-03
3.520000000000000018e+00 2.000353163153109799e-03
3.520000000000000018e+00 2.000353163153109799e-03
3.839999999999999858e+00 2.000407770282560012e-03
3.839999999999999858e+00 2.000407770282560012e-03
3.839999999999999858e+00 2.000407770282560012e-03
4.160000000000000142e+00 2.000469322600460179e-03
4.160000000000000142e+00 2.000469322600460179e-03
4.160000000000000142e+00 2.000469322600460179e-03
4.480000000000000426e+00 2.000531183526570080e-03
4.480000000000000426e+00 2.000531183526570080e-03
4.480000000000000426e+00 2.000531183526570080e-03
4.799999999999999822e+00 2.000600342751600053e-03
4.799999999999999822e+00 2.000600342751600053e-03
4.799999999999999822e+00 2.000600342751600053e-03
5.120000000000000107e+00 2.000671455002110081e-03
5.120000000000000107e+00 2.000671455002110081e-03
5.120000000000000107e+00 2.000671455002110081e-03
5.440000000000000391e+00 2.000749963244119901e-03
5.440000000000000391e+00 2.000749963244119901e-03
5.440000000000000391e+00 2.000749963244119901e-03
5.759999999999999787e+00 2.000829670898989984e-03
5.759999999999999787e+00 2.000829670898989984e-03
5.759999999999999787e+00 2.000829670898989984e-03
6.080000000000000071e+00 2.000915484656820131e-03
6.080000000000000071e+00 2.000915484656820131e-03
6.080000000000000071e+00 2.000915484656820131e-03
6.400000000000000355e+00 2.001002259197550131e-03
6.400000000000000355e+00 2.001002259197550131e-03
6.400000000000000355e+00 2.001002259197550131e-03
6.719999999999999751e+00 2.001092521759209944e-03
6.719999999999999751e+00 2.001092521759209944e-03
6.719999999999999751e+00 2.001092521759209944e-03
7.040000000000000036e+00 2.001181187515899823e-03
7.040000000000000036e+00 2.001181187515899823e-03
7.040000000000000036e+00 2.001181187515899823e-03
7.360000000000000320e+00 2.001274646542559876e-03
7.360000000000000320e+00 2.001274646542559876e-03
7.360000000000000320e+00 2.001274646542559876e-03
7.679999999999999716e+00 2.001362822813229896e-03
7.679999999999999716e+00 2.001362822813229896e-03
7.679999999999999716e+00 2.001362822813229896e-03
8.000000000000000000e+00 2.001456485253820181e-03
8.000000000000000000e+00 2.001456485253820181e-03
8.000000000000000000e+00 2.001456485253820181e-03
