t ham
2.399999999999999911e-01 -5.346508155168459874e-05
2.399999999999999911e-01 -1.895826380627349875e-04
2.399999999999999911e-01 -5.996888046392450126e-04
4.799999999999999822e-01 -9.922591347533149531e-05
4.799999999999999822e-01 -2.307598266066000130e-04
4.799999999999999822e-01 -6.258883992280029869e-04
7.199999999999999734e-01 -2.207439232405379939e-03
7.199999999999999734e-01 -1.453801266750320029e-04
7.199999999999999734e-01 -6.071227437867280415e-04
9.599999999999999645e-01 -2.220223421719610089e-03
9.599999999999999645e-01 -2.210012683933889959e-04
9.599999999999999645e-01 -5.932291100577269513e-04
1.199999999999999956e+00 -1.182711754345450037e-04
1.199999999999999956e+00 -2.136095994478699983e-04
1.199999999999999956e+00 -6.952676548120230275e-04
1.439999999999999947e+00 -4.537469029668170293e-05
1.439999999999999947e+00 -1.704494444187969909e-04
1.439999999999999947e+00 -6.201209713576349980e-04
1.679999999999999938e+00 -5.314372844042460043e-05
1.679999999999999938e+00 -2.768193169586100001e-04
1.679999999999999938e+00 -4.147916822037079872e-04
1.919999999999999929e+00 -8.120694237856440623e-05
1.919999999999999929e+00 -1.068109577658239956e-04
1.919999999999999929e+00 -8.257823382521459676e-04
2.160000000000000142e+00 -9.709471568278280128e-05
2.160000000000000142e+00 -2.596444820121699879e-04
2.160000000000000142e+00 -6.286252259401770015e-04
2.399999999999999911e+00 -2.499930301394499941e-05
2.399999999999999911e+00 -1.841230127871550006e-04
2.399999999999999911e+00 -1.183957456341990042e-03
2.640000000000000124e+00 -1.201218732467669950e-04
2.640000000000000124e+00 -1.883328115733220131e-04
2.640000000000000124e+00 -8.763399995957570380e-04
2.879999999999999893e+00 -2.230295032661089983e-05
2.879999999999999893e+00 -2.399345773100000027e-03
2.879999999999999893e+00 -1.216332115109389992e-03
3.120000000000000107e+00 -1.081703694295470014e-04
3.120000000000000107e+00 -1.052785360828030036e-04
3.120000000000000107e+00 -6.818408448579640424e-04
3.359999999999999876e+00 -3.341453110365660031e-05
3.359999999999999876e+00 -3.358867189492830037e-04
3.359999999999999876e+00 -1.262819458688170006e-03
3.600000000000000089e+00 -1.290283617224749968e-04
3.600000000000000089e+00 -6.842111969544710417e-05
3.600000000000000089e+00 -9.226669258311639499e-04
3.839999999999999858e+00 -2.174616818312660130e-03
3.839999999999999858e+00 -3.134449242433450140e-04
3.839999999999999858e+00 -1.033786483475100096e-03
