t lapse
0.000000000000000000e+00 4.955647262245789775e-01
0.000000000000000000e+00 4.955647262245789775e-01
0.000000000000000000e+00 4.955647262245789775e-01
0.000000000000000000e+00 4.955647262245789775e-01
3.200000000000000067e-01 4.955625626673729744e-01
3.200000000000000067e-01 4.955625626673729744e-01
3.200000000000000067e-01 4.955625626673729744e-01
3.200000000000000067e-01 4.955625626673729744e-01
6.400000000000000133e-01 4.955650525936889927e-01
6.400000000000000133e-01 4.955650525936889927e-01
6.400000000000000133e-01 4.955650525936889927e-01
6.400000000000000133e-01 4.955650525936889927e-01
9.599999999999999645e-01 4.955664475333069752e-01
9.599999999999999645e-01 4.955664475333069752e-01
9.599999999999999645e-01 4.955664475333069752e-01
9.599999999999999645e-01 4.955664475333069752e-01
1.280000000000000027e+00 4.955598871238530156e-01
1.280000000000000027e+00 4.955598871238530156e-01
1.280000000000000027e+00 4.955598871238530156e-01
1.280000000000000027e+00 4.955598871238530156e-01
1.600000000000000089e+00 4.955659989507609775e-01
1.600000000000000089e+00 4.955659989507609775e-01
1.600000000000000089e+00 4.955659989507609775e-01
1.600000000000000089e+00 4.955659989507609775e-01
1.919999999999999929e+00 4.955626528056389923e-01
1.919999999999999929e+00 4.955626528056389923e-01
1.919999999999999929e+00 4.955626528056389923e-01
1.919999999999999929e+00 4.955626528056389923e-01
2.240000000000000213e+00 4.955610725310660158e-01
2.240000000000000213e+00 4.955610725310660158e-01
2.240000000000000213e+00 4.955610725310660158e-01
2.240000000000000213e+00 4.955610725310660158e-01
2.560000000000000053e+00 4.955593650172729903e-01
2.560000000000000053e+00 4.955593650172729903e-01
2.560000000000000053e+00 4.955593650172729903e-01
2.560000000000000053e+00 4.955593650172729903e-01
2.879999999999999893e+00 4.955613837365829832e-01
2.879999999999999893e+00 4.955613837365829832e-01
2.879999999999999893e+00 4.955613837365829832e-01
2.879999999999999893e+00 4.955613837365829832e-01
3.200000000000000178e+00 4.955627344026299896e-01
3.200000000000000178e+00 4.955627344026299896e-01
3.200000000000000178e+00 4.955627344026299896e-01
3.200000000000000178e+00 4.955627344026299896e-01
3.520000000000000018e+00 4.955621310602940088e-01
3.520000000000000018e+00 4.955621310602940088e-01
3.520000000000000018e+00 4.955621310602940088e-01
3.520000000000000018e+00 4.955621310602940088e-01
3.839999999999999858e+00 4.955592071783320174e-01
3.839999999999999858e+00 4.955592071783320174e-01
3.839999999999999858e+00 4.955592071783320174e-01
3.839999999999999858e+00 4.955592071783320174e-01
4.160000000000000142e+00 4.955539541780650259e-01
4.160000000000000142e+00 4.955539541780650259e-01
4.160000000000000142e+00 4.955539541780650259e-01
4.160000000000000142e+00 4.955539541780650259e-01
4.480000000000000426e+00 4.955611946413259750e-01
4.480000000000000426e+00 4.955611946413259750e-01
4.480000000000000426e+00 4.955611946413259750e-01
4.480000000000000426e+00 4.955611946413259750e-01
4.799999999999999822e+00 4.955601379644060112e-01
4.799999999999999822e+00 4.955601379644060112e-01
4.799999999999999822e+00 4.955601379644060112e-01
4.799999999999999822e+00 4.955601379644060112e-01
5.120000000000000107e+00 4.955579121835870238e-01
5.120000000000000107e+00 4.955579121835870238e-01
5.120000000000000107e+00 4.955579121835870238e-01
5.120000000000000107e+00 4.955579121835870238e-01
5.440000000000000391e+00 4.955571284691269729e-01
5.440000000000000391e+00 4.955571284691269729e-01
5.440000000000000391e+00 4.955571284691269729e-01
5.440000000000000391e+00 4.955571284691269729e-01
5.759999999999999787e+00 4.955576380168340012e-01
5.759999999999999787e+00 4.955576380168340012e-01
5.759999999999999787e+00 4.955576380168340012e-01
5.759999999999999787e+00 4.955576380168340012e-01
6.080000000000000071e+00 4.955568550807790129e-01
6.080000000000000071e+00 4.955568550807790129e-01
6.080000000000000071e+00 4.955568550807790129e-01
6.080000000000000071e+00 4.955568550807790129e-01
6.400000000000000355e+00 4.955542523129929933e-01
6.400000000000000355e+00 4.955542523129929933e-01
6.400000000000000355e+00 4.955542523129929933e-01
6.400000000000000355e+00 4.955542523129929933e-01
6.719999999999999751e+00 4.955552347433530014e-01
6.719999999999999751e+00 4.955552347433530014e-01
6.719999999999999751e+00 4.955552347433530014e-01
6.719999999999999751e+00 4.955552347433530014e-01
7.040000000000000036e+00 4.955551777384640255e-01
7.040000000000000036e+00 4.955551777384640255e-01
7.040000000000000036e+00 4.955551777384640255e-01
7.040000000000000036e+00 4.955551777384640255e-01
7.360000000000000320e+00 4.955533754211730035e-01
7.360000000000000320e+00 4.955533754211730035e-01
7.360000000000000320e+00 4.955533754211730035e-01
7.360000000000000320e+00 4.955533754211730035e-01
7.679999999999999716e+00 4.955532013667759972e-01
7.679999999999999716e+00 4.955532013667759972e-01
7.679999999999999716e+00 4.955532013667759972e-01
7.679999999999999716e+00 4.955532013667759972e-01
8.000000000000000000e+00 4.955528179969880265e-01
8.000000000000000000e+00 4.955528179969880265e-01
8.000000000000000000e+00 4.955528179969880265e-01
8.000000000000000000e+00 4.955528179969880265e-01
8.320000000000000284e+00 4.955518051050150086e-01
8.320000000000000284e+00 4.955518051050150086e-01
8.320000000000000284e+00 4.955518051050150086e-01
8.320000000000000284e+00 4.955518051050150086e-01
8.640000000000000568e+00 4.955505038700560028e-01
8.640000000000000568e+00 4.955505038700560028e-01
8.640000000000000568e+00 4.955505038700560028e-01
8.640000000000000568e+00 4.955505038700560028e-01
8.960000000000000853e+00 4.955490634990910026e-01
8.960000000000000853e+00 4.955490634990910026e-01
8.960000000000000853e+00 4.955490634990910026e-01
8.960000000000000853e+00 4.955490634990910026e-01
9.279999999999999361e+00 4.955487187713640274e-01
9.279999999999999361e+00 4.955487187713640274e-01
9.279999999999999361e+00 4.955487187713640274e-01
9.279999999999999361e+00 4.955487187713640274e-01
9.599999999999999645e+00 4.955479774178520036e-01
9.599999999999999645e+00 4.955479774178520036e-01
9.599999999999999645e+00 4.955479774178520036e-01
9.599999999999999645e+00 4.955479774178520036e-01
9.919999999999999929e+00 4.955463944126469733e-01
9.919999999999999929e+00 4.955463944126469733e-01
9.919999999999999929e+00 4.955463944126469733e-01
9.919999999999999929e+00 4.955463944126469733e-01
1.024000000000000021e+01 4.955458173874269789e-01
1.024000000000000021e+01 4.955458173874269789e-01
1.024000000000000021e+01 4.955458173874269789e-01
1.024000000000000021e+01 4.955458173874269789e-01
1.056000000000000050e+01 4.955457759154059949e-01
1.056000000000000050e+01 4.955457759154059949e-01
1.056000000000000050e+01 4.955457759154059949e-01
1.056000000000000050e+01 4.955457759154059949e-01
1.088000000000000078e+01 4.955447712169619989e-01
1.088000000000000078e+01 4.955447712169619989e-01
1.088000000000000078e+01 4.955447712169619989e-01
1.088000000000000078e+01 4.955447712169619989e-01
1.119999999999999929e+01 4.955436826456929844e-01
1.119999999999999929e+01 4.955436826456929844e-01
1.119999999999999929e+01 4.955436826456929844e-01
1.119999999999999929e+01 4.955436826456929844e-01
1.151999999999999957e+01 4.955433255276089910e-01
1.151999999999999957e+01 4.955433255276089910e-01
1.151999999999999957e+01 4.955433255276089910e-01
1.151999999999999957e+01 4.955433255276089910e-01
1.183999999999999986e+01 4.955429661861610047e-01
1.183999999999999986e+01 4.955429661861610047e-01
1.183999999999999986e+01 4.955429661861610047e-01
1.183999999999999986e+01 4.955429661861610047e-01
1.216000000000000014e+01 4.955424121345859967e-01
1.216000000000000014e+01 4.955424121345859967e-01
1.216000000000000014e+01 4.955424121345859967e-01
1.216000000000000014e+01 4.955424121345859967e-01
1.248000000000000043e+01 4.955421057907249960e-01
1.248000000000000043e+01 4.955421057907249960e-01
1.248000000000000043e+01 4.955421057907249960e-01
1.248000000000000043e+01 4.955421057907249960e-01
1.280000000000000071e+01 4.955416756045170068e-01
1.280000000000000071e+01 4.955416756045170068e-01
1.280000000000000071e+01 4.955416756045170068e-01
1.280000000000000071e+01 4.955416756045170068e-01
1.311999999999999922e+01 4.955412841314489891e-01
1.311999999999999922e+01 4.955412841314489891e-01
1.311999999999999922e+01 4.955412841314489891e-01
1.311999999999999922e+01 4.955412841314489891e-01
1.343999999999999950e+01 4.955411597002369883e-01
1.343999999999999950e+01 4.955411597002369883e-01
1.343999999999999950e+01 4.955411597002369883e-01
1.343999999999999950e+01 4.955411597002369883e-01
1.375999999999999979e+01 4.955408652514040058e-01
1.375999999999999979e+01 4.955408652514040058e-01
1.375999999999999979e+01 4.955408652514040058e-01
1.375999999999999979e+01 4.955408652514040058e-01
1.408000000000000007e+01 4.955406320189850167e-01
1.408000000000000007e+01 4.955406320189850167e-01
1.408000000000000007e+01 4.955406320189850167e-01
1.408000000000000007e+01 4.955406320189850167e-01
1.440000000000000036e+01 4.955406186767449817e-01
1.440000000000000036e+01 4.955406186767449817e-01
1.440000000000000036e+01 4.955406186767449817e-01
1.440000000000000036e+01 4.955406186767449817e-01
1.472000000000000064e+01 4.955405521898350041e-01
1.472000000000000064e+01 4.955405521898350041e-01
1.472000000000000064e+01 4.955405521898350041e-01
1.472000000000000064e+01 4.955405521898350041e-01
1.503999999999999915e+01 4.955403189573340250e-01
1.503999999999999915e+01 4.955403189573340250e-01
1.503999999999999915e+01 4.955403189573340250e-01
1.503999999999999915e+01 4.955403189573340250e-01
1.535999999999999943e+01 4.955403975784070103e-01
1.535999999999999943e+01 4.955403975784070103e-01
1.535999999999999943e+01 4.955403975784070103e-01
1.535999999999999943e+01 4.955403975784070103e-01
1.567999999999999972e+01 4.955406631187109778e-01
1.567999999999999972e+01 4.955406631187109778e-01
1.567999999999999972e+01 4.955406631187109778e-01
1.567999999999999972e+01 4.955406631187109778e-01
1.600000000000000000e+01 4.955409065581140027e-01
1.600000000000000000e+01 4.955409065581140027e-01
1.600000000000000000e+01 4.955409065581140027e-01
1.600000000000000000e+01 4.955409065581140027e-01
1.632000000000000028e+01 4.955412202405830024e-01
1.632000000000000028e+01 4.955412202405830024e-01
1.632000000000000028e+01 4.955412202405830024e-01
