t ham
0.000000000000000000e+00 7.163519797044430084e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 6.199749171100009897e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 5.951055272268679732e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 6.882853171279510128e-06
2.240000000000000213e+00 inf
2.560000000000000053e+00 6.858010364282720257e-06
2.879999999999999893e+00 inf
3.200000000000000178e+00 6.792176030829310088e-06
3.520000000000000018e+00 inf
3.839999999999999858e+00 6.918949158964699974e-06
4.160000000000000142e+00 inf
4.480000000000000426e+00 7.080973368105589862e-06
4.799999999999999822e+00 inf
5.120000000000000107e+00 7.470795035751689645e-06
5.440000000000000391e+00 inf
5.759999999999999787e+00 8.113873806554370779e-06
6.080000000000000071e+00 inf
6.400000000000000355e+00 7.913813150978700825e-06
6.719999999999999751e+00 inf
7.040000000000000036e+00 8.391059865884649261e-06
7.360000000000000320e+00 inf
7.679999999999999716e+00 9.152605074411889917e-06
8.000000000000000000e+00 inf
8.320000000000000284e+00 8.777870740483299645e-06
8.640000000000000568e+00 inf
8.960000000000000853e+00 9.549234069791989155e-06
9.279999999999999361e+00 inf
9.599999999999999645e+00 9.839252899559550281e-06
9.919999999999999929e+00 inf
1.024000000000000021e+01 1.015923385656959923e-05
1.056000000000000050e+01 inf
1.088000000000000078e+01 1.088727560734189983e-05
1.119999999999999929e+01 inf
1.151999999999999957e+01 1.112230802965400051e-05
1.183999999999999986e+01 inf
1.216000000000000014e+01 1.148626773919590052e-05
1.248000000000000043e+01 inf
1.280000000000000071e+01 1.209082917763680084e-05
1.311999999999999922e+01 inf
1.343999999999999950e+01 1.259128357934830067e-05
1.375999999999999979e+01 inf
1.408000000000000007e+01 1.269875999755599996e-05
1.440000000000000036e+01 inf
1.472000000000000064e+01 1.307102691151210064e-05
1.503999999999999915e+01 inf
1.535999999999999943e+01 1.378351179680240051e-05
1.567999999999999972e+01 inf
1.600000000000000000e+01 1.394850120659489991e-05
1.632000000000000028e+01 inf
1.664000000000000057e+01 1.466569723940860009e-05
1.696000000000000085e+01 inf
1.728000000000000114e+01 1.474219564801579924e-05
1.760000000000000142e+01 inf
1.792000000000000171e+01 1.536133245364730139e-05
1.823999999999999844e+01 inf
1.855999999999999872e+01 1.548639291800360117e-05
1.887999999999999901e+01 inf
1.919999999999999929e+01 1.613429945669090146e-05
1.951999999999999957e+01 inf
1.983999999999999986e+01 1.633820298564589888e-05
2.016000000000000014e+01 inf
2.048000000000000043e+01 1.677389716018269940e-05
2.080000000000000071e+01 inf
2.112000000000000099e+01 1.726095977542459970e-05
2.144000000000000128e+01 inf
2.176000000000000156e+01 1.765558985698900037e-05
2.207999999999999829e+01 inf
2.239999999999999858e+01 1.809056221347390064e-05
2.271999999999999886e+01 inf
2.303999999999999915e+01 1.863529904630160074e-05
2.335999999999999943e+01 inf
2.367999999999999972e+01 1.904494621652209958e-05
2.400000000000000000e+01 inf
2.432000000000000028e+01 1.932074991546599968e-05
2.464000000000000057e+01 inf
2.496000000000000085e+01 1.981649693237879929e-05
2.528000000000000114e+01 inf
2.560000000000000142e+01 2.022543829597750147e-05
2.592000000000000171e+01 inf
2.623999999999999844e+01 2.075297916084780118e-05
2.655999999999999872e+01 inf
2.687999999999999901e+01 2.084686152431789911e-05
2.719999999999999929e+01 inf
2.751999999999999957e+01 2.146547647616340064e-05
2.783999999999999986e+01 inf
2.816000000000000014e+01 2.168740521172089834e-05
2.848000000000000043e+01 inf
2.880000000000000071e+01 2.230014169052850153e-05
2.912000000000000099e+01 inf
2.944000000000000128e+01 2.263894548919410135e-05
2.976000000000000156e+01 inf
3.007999999999999829e+01 2.297615335634479929e-05
3.039999999999999858e+01 inf
3.071999999999999886e+01 2.341090152252020104e-05
3.103999999999999915e+01 inf
3.135999999999999943e+01 2.378219170144149833e-05
3.167999999999999972e+01 inf
3.200000000000000000e+01 2.419417966768319940e-05
3.232000000000000028e+01 inf
3.264000000000000057e+01 2.467153506846199863e-05
