t ham
0.000000000000000000e+00 6.001812286262979763e-06
2.250000000000000056e-01 inf
4.500000000000000111e-01 inf
6.750000000000000444e-01 inf
9.000000000000000222e-01 inf
1.125000000000000000e+00 inf
1.350000000000000089e+00 inf
1.574999999999999956e+00 inf
1.800000000000000044e+00 5.995253851882969591e-06
2.024999999999999911e+00 inf
2.250000000000000000e+00 inf
2.475000000000000089e+00 inf
2.700000000000000178e+00 inf
2.924999999999999822e+00 inf
3.149999999999999911e+00 inf
3.375000000000000000e+00 inf
3.600000000000000089e+00 5.992669639130590359e-06
3.825000000000000178e+00 inf
4.049999999999999822e+00 inf
4.275000000000000355e+00 inf
4.500000000000000000e+00 inf
4.724999999999999645e+00 inf
4.950000000000000178e+00 inf
5.174999999999999822e+00 inf
5.400000000000000355e+00 5.944450477057059777e-06
5.625000000000000000e+00 inf
5.849999999999999645e+00 inf
6.075000000000000178e+00 inf
6.299999999999999822e+00 inf
6.525000000000000355e+00 inf
6.750000000000000000e+00 inf
6.974999999999999645e+00 inf
7.200000000000000178e+00 6.192519440806690256e-06
7.424999999999999822e+00 inf
7.650000000000000355e+00 inf
7.875000000000000000e+00 inf
8.099999999999999645e+00 inf
8.324999999999999289e+00 inf
8.550000000000000711e+00 inf
8.775000000000000355e+00 inf
9.000000000000000000e+00 6.251127817003669944e-06
9.224999999999999645e+00 inf
9.449999999999999289e+00 inf
9.675000000000000711e+00 inf
9.900000000000000355e+00 inf
1.012500000000000000e+01 inf
1.034999999999999964e+01 inf
1.057499999999999929e+01 inf
1.080000000000000071e+01 6.014286705779170053e-06
1.102500000000000036e+01 inf
1.125000000000000000e+01 inf
1.147499999999999964e+01 inf
1.169999999999999929e+01 inf
1.192500000000000071e+01 inf
1.215000000000000036e+01 inf
1.237500000000000000e+01 inf
1.259999999999999964e+01 5.879185126643090297e-06
1.282499999999999929e+01 inf
1.305000000000000071e+01 inf
1.327500000000000036e+01 inf
1.350000000000000000e+01 inf
1.372499999999999964e+01 inf
1.394999999999999929e+01 inf
1.417500000000000071e+01 inf
1.440000000000000036e+01 5.980966426726860114e-06
1.462500000000000000e+01 inf
1.484999999999999964e+01 inf
1.507499999999999929e+01 inf
1.530000000000000071e+01 inf
1.552500000000000036e+01 inf
1.575000000000000000e+01 inf
1.597499999999999964e+01 inf
1.619999999999999929e+01 6.081727114177349678e-06
1.642500000000000071e+01 inf
1.664999999999999858e+01 inf
1.687500000000000000e+01 inf
1.710000000000000142e+01 inf
1.732499999999999929e+01 inf
1.755000000000000071e+01 inf
1.777499999999999858e+01 inf
1.800000000000000000e+01 5.869314545776429788e-06
1.822500000000000142e+01 inf
1.844999999999999929e+01 inf
1.867500000000000071e+01 inf
1.889999999999999858e+01 inf
1.912500000000000000e+01 inf
1.935000000000000142e+01 inf
1.957499999999999929e+01 inf
1.980000000000000071e+01 6.049526830802900389e-06
2.002499999999999858e+01 inf
2.025000000000000000e+01 inf
2.047500000000000142e+01 inf
2.069999999999999929e+01 inf
2.092500000000000071e+01 inf
2.114999999999999858e+01 inf
2.137500000000000000e+01 inf
2.160000000000000142e+01 6.149719992788189844e-06
2.182499999999999929e+01 inf
2.205000000000000071e+01 inf
2.227499999999999858e+01 inf
2.250000000000000000e+01 inf
2.272500000000000142e+01 inf
2.294999999999999929e+01 inf
2.317500000000000071e+01 inf
2.339999999999999858e+01 6.094339321475559926e-06
2.362500000000000000e+01 inf
2.385000000000000142e+01 inf
2.407499999999999929e+01 inf
2.430000000000000071e+01 inf
2.452499999999999858e+01 inf
2.475000000000000000e+01 inf
2.497500000000000142e+01 inf
2.519999999999999929e+01 6.007900905736489965e-06
2.542500000000000071e+01 inf
2.564999999999999858e+01 inf
