t ham
0.000000000000000000e+00 1.524808327485759953e-05
1.199999999999999956e-01 inf
2.399999999999999911e-01 inf
3.599999999999999867e-01 inf
4.799999999999999822e-01 inf
5.999999999999999778e-01 inf
7.199999999999999734e-01 inf
8.399999999999999689e-01 inf
9.599999999999999645e-01 1.454288481356069938e-05
1.080000000000000071e+00 inf
1.199999999999999956e+00 inf
1.320000000000000062e+00 inf
1.439999999999999947e+00 inf
1.560000000000000053e+00 inf
1.679999999999999938e+00 inf
1.800000000000000044e+00 inf
1.919999999999999929e+00 1.465565262031339944e-05
2.040000000000000036e+00 inf
2.160000000000000142e+00 inf
2.279999999999999805e+00 inf
2.399999999999999911e+00 inf
2.520000000000000018e+00 inf
2.640000000000000124e+00 inf
2.759999999999999787e+00 inf
2.879999999999999893e+00 1.476623254241269971e-05
3.000000000000000000e+00 inf
3.120000000000000107e+00 inf
3.240000000000000213e+00 inf
3.359999999999999876e+00 inf
3.479999999999999982e+00 inf
3.600000000000000089e+00 inf
3.720000000000000195e+00 inf
3.839999999999999858e+00 1.503919413596259995e-05
3.959999999999999964e+00 inf
4.080000000000000071e+00 inf
4.200000000000000178e+00 inf
4.320000000000000284e+00 inf
4.440000000000000391e+00 inf
4.559999999999999609e+00 inf
4.679999999999999716e+00 inf
4.799999999999999822e+00 1.521024693719660056e-05
4.919999999999999929e+00 inf
5.040000000000000036e+00 inf
5.160000000000000142e+00 inf
5.280000000000000249e+00 inf
5.400000000000000355e+00 inf
5.519999999999999574e+00 inf
5.639999999999999680e+00 inf
5.759999999999999787e+00 1.554645874724689878e-05
5.879999999999999893e+00 inf
6.000000000000000000e+00 inf
6.120000000000000107e+00 inf
6.240000000000000213e+00 inf
6.360000000000000320e+00 inf
6.480000000000000426e+00 inf
6.599999999999999645e+00 inf
6.719999999999999751e+00 1.548707475221240137e-05
6.839999999999999858e+00 inf
6.959999999999999964e+00 inf
7.080000000000000071e+00 inf
7.200000000000000178e+00 inf
7.320000000000000284e+00 inf
7.440000000000000391e+00 inf
7.559999999999999609e+00 inf
7.679999999999999716e+00 1.552875121816699863e-05
7.799999999999999822e+00 inf
7.919999999999999929e+00 inf
8.039999999999999147e+00 inf
8.160000000000000142e+00 inf
8.279999999999999361e+00 inf
8.400000000000000355e+00 inf
8.519999999999999574e+00 inf
8.640000000000000568e+00 1.615918465184899947e-05
8.759999999999999787e+00 inf
8.880000000000000782e+00 inf
9.000000000000000000e+00 inf
9.119999999999999218e+00 inf
9.240000000000000213e+00 inf
9.359999999999999432e+00 inf
9.480000000000000426e+00 inf
9.599999999999999645e+00 1.579049350204680046e-05
9.720000000000000639e+00 inf
9.839999999999999858e+00 inf
9.960000000000000853e+00 inf
1.008000000000000007e+01 inf
1.019999999999999929e+01 inf
1.032000000000000028e+01 inf
1.043999999999999950e+01 inf
1.056000000000000050e+01 1.621730295539919854e-05
1.067999999999999972e+01 inf
1.080000000000000071e+01 inf
1.091999999999999993e+01 inf
1.103999999999999915e+01 inf
1.116000000000000014e+01 inf
1.127999999999999936e+01 inf
1.140000000000000036e+01 inf
1.151999999999999957e+01 1.609016404234209831e-05
1.164000000000000057e+01 inf
1.175999999999999979e+01 inf
1.188000000000000078e+01 inf
1.200000000000000000e+01 inf
1.211999999999999922e+01 inf
1.224000000000000021e+01 inf
1.235999999999999943e+01 inf
1.248000000000000043e+01 1.631890195671340042e-05
1.259999999999999964e+01 inf
1.272000000000000064e+01 inf
1.283999999999999986e+01 inf
1.296000000000000085e+01 inf
1.308000000000000007e+01 inf
1.319999999999999929e+01 inf
1.332000000000000028e+01 inf
1.343999999999999950e+01 1.619819701081329916e-05
1.356000000000000050e+01 inf
1.367999999999999972e+01 inf
1.380000000000000071e+01 inf
1.391999999999999993e+01 inf
1.403999999999999915e+01 inf
1.416000000000000014e+01 inf
1.427999999999999936e+01 inf
1.440000000000000036e+01 1.671898764586840052e-05
1.451999999999999957e+01 inf
1.464000000000000057e+01 inf
1.475999999999999979e+01 inf
1.488000000000000078e+01 inf
1.500000000000000000e+01 inf
1.511999999999999922e+01 inf
1.524000000000000021e+01 inf
1.535999999999999943e+01 1.672118552578980062e-05
1.548000000000000043e+01 inf
1.559999999999999964e+01 inf
1.572000000000000064e+01 inf
1.583999999999999986e+01 inf
1.596000000000000085e+01 inf
1.607999999999999829e+01 inf
1.619999999999999929e+01 inf
1.632000000000000028e+01 1.618281851739339898e-05
1.644000000000000128e+01 inf
1.655999999999999872e+01 inf
1.667999999999999972e+01 inf
1.680000000000000071e+01 inf
1.692000000000000171e+01 inf
1.703999999999999915e+01 inf
1.716000000000000014e+01 inf
1.728000000000000114e+01 1.666437585239740089e-05
1.739999999999999858e+01 inf
1.751999999999999957e+01 inf
1.764000000000000057e+01 inf
1.776000000000000156e+01 inf
1.787999999999999901e+01 inf
1.800000000000000000e+01 inf
1.812000000000000099e+01 inf
1.823999999999999844e+01 1.671308282258820156e-05
1.835999999999999943e+01 inf
1.848000000000000043e+01 inf
1.860000000000000142e+01 inf
1.871999999999999886e+01 inf
1.883999999999999986e+01 inf
1.896000000000000085e+01 inf
1.907999999999999829e+01 inf
1.919999999999999929e+01 1.656053359275159857e-05
1.932000000000000028e+01 inf
1.944000000000000128e+01 inf
1.955999999999999872e+01 inf
1.967999999999999972e+01 inf
1.980000000000000071e+01 inf
1.992000000000000171e+01 inf
2.003999999999999915e+01 inf
2.016000000000000014e+01 1.656836595567809890e-05
2.028000000000000114e+01 inf
2.039999999999999858e+01 inf
2.051999999999999957e+01 inf
2.064000000000000057e+01 inf
2.076000000000000156e+01 inf
2.087999999999999901e+01 inf
2.100000000000000000e+01 inf
2.112000000000000099e+01 1.649098436628900128e-05
2.123999999999999844e+01 inf
2.135999999999999943e+01 inf
2.148000000000000043e+01 inf
2.160000000000000142e+01 inf
2.171999999999999886e+01 inf
2.183999999999999986e+01 inf
2.196000000000000085e+01 inf
2.207999999999999829e+01 1.658913498599170054e-05
2.219999999999999929e+01 inf
2.232000000000000028e+01 inf
2.244000000000000128e+01 inf
2.255999999999999872e+01 inf
2.267999999999999972e+01 inf
2.280000000000000071e+01 inf
2.292000000000000171e+01 inf
2.303999999999999915e+01 1.674076213318130110e-05
2.316000000000000014e+01 inf
2.328000000000000114e+01 inf
2.339999999999999858e+01 inf
2.351999999999999957e+01 inf
2.364000000000000057e+01 inf
2.376000000000000156e+01 inf
2.387999999999999901e+01 inf
2.400000000000000000e+01 1.669045227636049871e-05
2.412000000000000099e+01 inf
2.423999999999999844e+01 inf
2.435999999999999943e+01 inf
2.448000000000000043e+01 inf
2.460000000000000142e+01 inf
2.471999999999999886e+01 inf
2.483999999999999986e+01 inf
2.496000000000000085e+01 1.675657945359250008e-05
2.507999999999999829e+01 inf
2.519999999999999929e+01 inf
2.532000000000000028e+01 inf
2.544000000000000128e+01 inf
2.555999999999999872e+01 inf
2.567999999999999972e+01 inf
2.580000000000000071e+01 inf
2.592000000000000171e+01 1.676041575904600126e-05
2.603999999999999915e+01 inf
2.616000000000000014e+01 inf
2.628000000000000114e+01 inf
2.639999999999999858e+01 inf
2.651999999999999957e+01 inf
