t phi
2.399999999999999911e+00 -6.464666425550980033e-01
2.399999999999999911e+00 -6.464666425550980033e-01
2.399999999999999911e+00 -6.464666425550980033e-01
2.399999999999999911e+00 -6.464666425550980033e-01
2.399999999999999911e+00 -6.464666425550980033e-01
4.799999999999999822e+00 -6.464698551570310370e-01
4.799999999999999822e+00 -6.464698551570310370e-01
4.799999999999999822e+00 -6.464698551570310370e-01
4.799999999999999822e+00 -6.464698551570310370e-01
4.799999999999999822e+00 -6.464698551570310370e-01
7.200000000000000178e+00 -6.464639899394339917e-01
7.200000000000000178e+00 -6.464639899394339917e-01
7.200000000000000178e+00 -6.464639899394339917e-01
7.200000000000000178e+00 -6.464639899394339917e-01
7.200000000000000178e+00 -6.464639899394339917e-01
9.599999999999999645e+00 -6.464569857329099944e-01
9.599999999999999645e+00 -6.464569857329099944e-01
9.599999999999999645e+00 -6.464569857329099944e-01
9.599999999999999645e+00 -6.464569857329099944e-01
9.599999999999999645e+00 -6.464569857329099944e-01
1.200000000000000000e+01 -6.464465365460569934e-01
1.200000000000000000e+01 -6.464465365460569934e-01
1.200000000000000000e+01 -6.464465365460569934e-01
1.200000000000000000e+01 -6.464465365460569934e-01
1.200000000000000000e+01 -6.464465365460569934e-01
1.440000000000000036e+01 -6.464420494599999456e-01
1.440000000000000036e+01 -6.464420494599999456e-01
1.440000000000000036e+01 -6.464420494599999456e-01
1.440000000000000036e+01 -6.464420494599999456e-01
1.440000000000000036e+01 -6.464420494599999456e-01
1.680000000000000071e+01 -6.464358917912059743e-01
1.680000000000000071e+01 -6.464358917912059743e-01
1.680000000000000071e+01 -6.464358917912059743e-01
1.680000000000000071e+01 -6.464358917912059743e-01
1.680000000000000071e+01 -6.464358917912059743e-01
1.919999999999999929e+01 -6.464284410047329565e-01
1.919999999999999929e+01 -6.464284410047329565e-01
1.919999999999999929e+01 -6.464284410047329565e-01
1.919999999999999929e+01 -6.464284410047329565e-01
1.919999999999999929e+01 -6.464284410047329565e-01
2.160000000000000142e+01 -6.464170703896729986e-01
2.160000000000000142e+01 -6.464170703896729986e-01
2.160000000000000142e+01 -6.464170703896729986e-01
2.160000000000000142e+01 -6.464170703896729986e-01
2.160000000000000142e+01 -6.464170703896729986e-01
2.400000000000000000e+01 -6.464038685677410134e-01
2.400000000000000000e+01 -6.464038685677410134e-01
2.400000000000000000e+01 -6.464038685677410134e-01
2.400000000000000000e+01 -6.464038685677410134e-01
2.400000000000000000e+01 -6.464038685677410134e-01
2.639999999999999858e+01 -6.463881041862650223e-01
2.639999999999999858e+01 -6.463881041862650223e-01
2.639999999999999858e+01 -6.463881041862650223e-01
2.639999999999999858e+01 -6.463881041862650223e-01
2.639999999999999858e+01 -6.463881041862650223e-01
2.880000000000000071e+01 -6.463686441641840474e-01
2.880000000000000071e+01 -6.463686441641840474e-01
2.880000000000000071e+01 -6.463686441641840474e-01
2.880000000000000071e+01 -6.463686441641840474e-01
2.880000000000000071e+01 -6.463686441641840474e-01
3.119999999999999929e+01 -6.463461832289879583e-01
3.119999999999999929e+01 -6.463461832289879583e-01
3.119999999999999929e+01 -6.463461832289879583e-01
3.119999999999999929e+01 -6.463461832289879583e-01
3.119999999999999929e+01 -6.463461832289879583e-01
3.360000000000000142e+01 -6.463266690289160010e-01
