t rho
1.919999999999999929e+00 2.070294573280829793e-03
1.919999999999999929e+00 2.070294573280829793e-03
1.919999999999999929e+00 2.070294573280829793e-03
1.919999999999999929e+00 2.070294573280829793e-03
1.919999999999999929e+00 2.070294573280829793e-03
3.839999999999999858e+00 2.070118528768249803e-03
3.839999999999999858e+00 2.070118528768249803e-03
3.839999999999999858e+00 2.070118528768249803e-03
3.839999999999999858e+00 2.070118528768249803e-03
3.839999999999999858e+00 2.070118528768249803e-03
5.759999999999999787e+00 2.070103880142610056e-03
5.759999999999999787e+00 2.070103880142610056e-03
5.759999999999999787e+00 2.070103880142610056e-03
5.759999999999999787e+00 2.070103880142610056e-03
5.759999999999999787e+00 2.070103880142610056e-03
7.679999999999999716e+00 2.070061223908260199e-03
7.679999999999999716e+00 2.070061223908260199e-03
7.679999999999999716e+00 2.070061223908260199e-03
7.679999999999999716e+00 2.070061223908260199e-03
7.679999999999999716e+00 2.070061223908260199e-03
9.599999999999999645e+00 2.070034704519249907e-03
9.599999999999999645e+00 2.070034704519249907e-03
9.599999999999999645e+00 2.070034704519249907e-03
9.599999999999999645e+00 2.070034704519249907e-03
9.599999999999999645e+00 2.070034704519249907e-03
1.151999999999999957e+01 2.070025300859979801e-03
1.151999999999999957e+01 2.070025300859979801e-03
1.151999999999999957e+01 2.070025300859979801e-03
1.151999999999999957e+01 2.070025300859979801e-03
1.151999999999999957e+01 2.070025300859979801e-03
1.343999999999999950e+01 2.070033108314679911e-03
1.343999999999999950e+01 2.070033108314679911e-03
1.343999999999999950e+01 2.070033108314679911e-03
1.343999999999999950e+01 2.070033108314679911e-03
1.343999999999999950e+01 2.070033108314679911e-03
1.535999999999999943e+01 2.070045189259270106e-03
1.535999999999999943e+01 2.070045189259270106e-03
1.535999999999999943e+01 2.070045189259270106e-03
1.535999999999999943e+01 2.070045189259270106e-03
1.535999999999999943e+01 2.070045189259270106e-03
1.728000000000000114e+01 2.070050273403299928e-03
1.728000000000000114e+01 2.070050273403299928e-03
1.728000000000000114e+01 2.070050273403299928e-03
1.728000000000000114e+01 2.070050273403299928e-03
1.728000000000000114e+01 2.070050273403299928e-03
1.919999999999999929e+01 2.070046145452000136e-03
1.919999999999999929e+01 2.070046145452000136e-03
1.919999999999999929e+01 2.070046145452000136e-03
1.919999999999999929e+01 2.070046145452000136e-03
1.919999999999999929e+01 2.070046145452000136e-03
2.112000000000000099e+01 2.070034655458729937e-03
2.112000000000000099e+01 2.070034655458729937e-03
2.112000000000000099e+01 2.070034655458729937e-03
2.112000000000000099e+01 2.070034655458729937e-03
2.112000000000000099e+01 2.070034655458729937e-03
2.303999999999999915e+01 2.070017438088639968e-03
2.303999999999999915e+01 2.070017438088639968e-03
2.303999999999999915e+01 2.070017438088639968e-03
2.303999999999999915e+01 2.070017438088639968e-03
2.303999999999999915e+01 2.070017438088639968e-03
2.496000000000000085e+01 2.069994228314909861e-03
2.496000000000000085e+01 2.069994228314909861e-03
2.496000000000000085e+01 2.069994228314909861e-03
2.496000000000000085e+01 2.069994228314909861e-03
2.496000000000000085e+01 2.069994228314909861e-03
2.687999999999999901e+01 2.069966170795419814e-03
2.687999999999999901e+01 2.069966170795419814e-03
2.687999999999999901e+01 2.069966170795419814e-03
2.687999999999999901e+01 2.069966170795419814e-03
2.687999999999999901e+01 2.069966170795419814e-03
2.880000000000000071e+01 2.069935179969189902e-03
2.880000000000000071e+01 2.069935179969189902e-03
2.880000000000000071e+01 2.069935179969189902e-03
2.880000000000000071e+01 2.069935179969189902e-03
2.880000000000000071e+01 2.069935179969189902e-03
3.071999999999999886e+01 2.069902139433990162e-03
3.071999999999999886e+01 2.069902139433990162e-03
3.071999999999999886e+01 2.069902139433990162e-03
3.071999999999999886e+01 2.069902139433990162e-03
3.071999999999999886e+01 2.069902139433990162e-03
3.264000000000000057e+01 2.069860764302750185e-03
3.264000000000000057e+01 2.069860764302750185e-03
3.264000000000000057e+01 2.069860764302750185e-03
3.264000000000000057e+01 2.069860764302750185e-03
3.264000000000000057e+01 2.069860764302750185e-03
3.456000000000000227e+01 2.069762855827220020e-03
3.456000000000000227e+01 2.069762855827220020e-03
3.456000000000000227e+01 2.069762855827220020e-03
3.456000000000000227e+01 2.069762855827220020e-03
3.456000000000000227e+01 2.069762855827220020e-03
3.647999999999999687e+01 2.069475384052419948e-03
3.647999999999999687e+01 2.069475384052419948e-03
3.647999999999999687e+01 2.069475384052419948e-03
3.647999999999999687e+01 2.069475384052419948e-03
