t ham
3.200000000000000067e-01 -3.867429061114870082e-05
3.200000000000000067e-01 -6.721476134492750207e-05
3.200000000000000067e-01 -2.368479941231990075e-04
6.400000000000000133e-01 -7.013506977064650025e-05
6.400000000000000133e-01 -2.234821671222989904e-04
6.400000000000000133e-01 -5.949198567587740205e-04
9.599999999999999645e-01 1.390319276496630084e-05
9.599999999999999645e-01 -6.457244325085150047e-05
9.599999999999999645e-01 -4.629549748599580167e-04
1.280000000000000027e+00 -4.414640679761830323e-05
1.280000000000000027e+00 -4.094328850233059898e-04
1.280000000000000027e+00 -3.534746716192529938e-04
1.600000000000000089e+00 -2.725879849282960169e-05
1.600000000000000089e+00 8.263404416664070398e-05
1.600000000000000089e+00 -3.634686485672469834e-04
1.919999999999999929e+00 -2.566449284377440078e-05
1.919999999999999929e+00 -1.738099267332570037e-04
1.919999999999999929e+00 -5.986108132821770260e-04
2.240000000000000213e+00 -1.017464588257410029e-04
2.240000000000000213e+00 -2.673579129730819766e-04
2.240000000000000213e+00 -3.284867038754750077e-04
2.560000000000000053e+00 4.804111682202289710e-05
2.560000000000000053e+00 -3.779211216914379889e-05
2.560000000000000053e+00 -3.990858371284159898e-04
2.879999999999999893e+00 -5.664695952793669917e-05
2.879999999999999893e+00 -2.317766548272090022e-04
2.879999999999999893e+00 -4.909877346743609728e-04
3.200000000000000178e+00 -6.543576002895900287e-06
3.200000000000000178e+00 -1.598117580120660033e-04
3.200000000000000178e+00 -4.375647366538369838e-04
3.520000000000000018e+00 -1.331868573212070090e-04
3.520000000000000018e+00 -4.684163522482299969e-05
3.520000000000000018e+00 -3.877510912338870169e-04
3.839999999999999858e+00 7.295533708617800330e-05
3.839999999999999858e+00 -3.066000956810919814e-04
3.839999999999999858e+00 -4.918308142577989487e-04
4.160000000000000142e+00 -5.718503315516040240e-06
4.160000000000000142e+00 -1.053800581080339933e-04
4.160000000000000142e+00 -2.582946493698000151e-04
4.480000000000000426e+00 -1.071491237463750043e-04
4.480000000000000426e+00 -5.808917253005699890e-06
4.480000000000000426e+00 -7.419428396514829915e-04
4.799999999999999822e+00 5.210652934267699983e-07
4.799999999999999822e+00 -4.323269186271019794e-04
4.799999999999999822e+00 -1.455680919938419869e-04
5.120000000000000107e+00 -2.349110552994640040e-05
5.120000000000000107e+00 1.487981873257990045e-04
5.120000000000000107e+00 -5.762459182708229563e-04
5.440000000000000391e+00 -7.688163843873330183e-05
5.440000000000000391e+00 -4.246325469745149800e-04
5.440000000000000391e+00 -3.585689317269909974e-04
5.759999999999999787e+00 4.073678863097949770e-06
5.759999999999999787e+00 5.954458806144149953e-05
5.759999999999999787e+00 -3.741360518638020007e-04
6.080000000000000071e+00 -4.475611613237449914e-05
6.080000000000000071e+00 -2.981135655994309754e-04
6.080000000000000071e+00 -6.991637165102839802e-04
6.400000000000000355e+00 -5.284787776822789842e-05
6.400000000000000355e+00 -4.051577212685340178e-05
6.400000000000000355e+00 -9.590465389093530348e-05
6.719999999999999751e+00 1.330804513513529936e-05
6.719999999999999751e+00 -2.524482154793590257e-04
6.719999999999999751e+00 -5.737623706247589779e-04
7.040000000000000036e+00 -5.933913461407540238e-05
7.040000000000000036e+00 -1.135832904082120044e-04
7.040000000000000036e+00 -4.907520245604060161e-04
7.360000000000000320e+00 -8.177798453232189597e-06
7.360000000000000320e+00 -1.075585798641370019e-04
7.360000000000000320e+00 -3.455838683215080136e-04
7.679999999999999716e+00 -4.038219460091029711e-05
7.679999999999999716e+00 -1.942475576307699952e-04
7.679999999999999716e+00 -4.839824573090870173e-04
8.000000000000000000e+00 -6.355361586860010204e-05
8.000000000000000000e+00 -1.318238537882930096e-04
8.000000000000000000e+00 -3.558488694235529800e-04
8.320000000000000284e+00 -1.032910804717179945e-05
8.320000000000000284e+00 -1.699376116307269914e-04
8.320000000000000284e+00 -3.465342767033640107e-04
8.640000000000000568e+00 -5.999465902888079916e-05
8.640000000000000568e+00 -1.067420716886059950e-04
8.640000000000000568e+00 -6.604401920661110478e-04
8.960000000000000853e+00 8.054452030933910127e-06
8.960000000000000853e+00 -2.336226246491269999e-04
8.960000000000000853e+00 -3.232486045358640148e-04
9.279999999999999361e+00 -5.826441378396769830e-05
9.279999999999999361e+00 -6.395946357477809462e-05
9.279999999999999361e+00 -3.220372614351070225e-04
9.599999999999999645e+00 -1.096356884525140013e-05
