t lapse
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
0.000000000000000000e+00 6.698385121001010356e-01
5.000000000000000000e-01 6.698370628345670097e-01
5.000000000000000000e-01 6.698370628345670097e-01
5.000000000000000000e-01 6.698370628345670097e-01
5.000000000000000000e-01 6.698370628345670097e-01
1.000000000000000000e+00 6.698403378218340531e-01
1.000000000000000000e+00 6.698403378218340531e-01
1.000000000000000000e+00 6.698403378218340531e-01
1.000000000000000000e+00 6.698403378218340531e-01
1.000000000000000000e+00 6.698403378218340531e-01
1.500000000000000000e+00 6.698374538650959664e-01
1.500000000000000000e+00 6.698374538650959664e-01
1.500000000000000000e+00 6.698374538650959664e-01
1.500000000000000000e+00 6.698374538650959664e-01
2.000000000000000000e+00 6.698388125879219945e-01
2.000000000000000000e+00 6.698388125879219945e-01
2.000000000000000000e+00 6.698388125879219945e-01
2.000000000000000000e+00 6.698388125879219945e-01
2.000000000000000000e+00 6.698388125879219945e-01
2.500000000000000000e+00 6.698382965547949874e-01
2.500000000000000000e+00 6.698382965547949874e-01
2.500000000000000000e+00 6.698382965547949874e-01
2.500000000000000000e+00 6.698382965547949874e-01
3.000000000000000000e+00 6.698369439026919947e-01
3.000000000000000000e+00 6.698369439026919947e-01
3.000000000000000000e+00 6.698369439026919947e-01
3.000000000000000000e+00 6.698369439026919947e-01
3.000000000000000000e+00 6.698369439026919947e-01
3.500000000000000000e+00 6.698388793989520362e-01
3.500000000000000000e+00 6.698388793989520362e-01
3.500000000000000000e+00 6.698388793989520362e-01
3.500000000000000000e+00 6.698388793989520362e-01
4.000000000000000000e+00 6.698369716551120234e-01
4.000000000000000000e+00 6.698369716551120234e-01
4.000000000000000000e+00 6.698369716551120234e-01
4.000000000000000000e+00 6.698369716551120234e-01
4.000000000000000000e+00 6.698369716551120234e-01
4.500000000000000000e+00 6.698370165732819848e-01
4.500000000000000000e+00 6.698370165732819848e-01
4.500000000000000000e+00 6.698370165732819848e-01
4.500000000000000000e+00 6.698370165732819848e-01
5.000000000000000000e+00 6.698336904773609657e-01
5.000000000000000000e+00 6.698336904773609657e-01
5.000000000000000000e+00 6.698336904773609657e-01
5.000000000000000000e+00 6.698336904773609657e-01
5.000000000000000000e+00 6.698336904773609657e-01
5.500000000000000000e+00 6.698335856875029526e-01
5.500000000000000000e+00 6.698335856875029526e-01
5.500000000000000000e+00 6.698335856875029526e-01
5.500000000000000000e+00 6.698335856875029526e-01
6.000000000000000000e+00 6.698337858517300347e-01
6.000000000000000000e+00 6.698337858517300347e-01
6.000000000000000000e+00 6.698337858517300347e-01
6.000000000000000000e+00 6.698337858517300347e-01
6.000000000000000000e+00 6.698337858517300347e-01
6.500000000000000000e+00 6.698335629036969996e-01
6.500000000000000000e+00 6.698335629036969996e-01
6.500000000000000000e+00 6.698335629036969996e-01
6.500000000000000000e+00 6.698335629036969996e-01
7.000000000000000000e+00 6.698294805333560031e-01
7.000000000000000000e+00 6.698294805333560031e-01
7.000000000000000000e+00 6.698294805333560031e-01
7.000000000000000000e+00 6.698294805333560031e-01
7.000000000000000000e+00 6.698294805333560031e-01
7.500000000000000000e+00 6.698325550600100486e-01
7.500000000000000000e+00 6.698325550600100486e-01
7.500000000000000000e+00 6.698325550600100486e-01
7.500000000000000000e+00 6.698325550600100486e-01
8.000000000000000000e+00 6.698257825871900550e-01
8.000000000000000000e+00 6.698257825871900550e-01
8.000000000000000000e+00 6.698257825871900550e-01
8.000000000000000000e+00 6.698257825871900550e-01
8.000000000000000000e+00 6.698257825871900550e-01
8.500000000000000000e+00 6.698276552827100438e-01
8.500000000000000000e+00 6.698276552827100438e-01
8.500000000000000000e+00 6.698276552827100438e-01
8.500000000000000000e+00 6.698276552827100438e-01
9.000000000000000000e+00 6.698262969666100020e-01
9.000000000000000000e+00 6.698262969666100020e-01
9.000000000000000000e+00 6.698262969666100020e-01
9.000000000000000000e+00 6.698262969666100020e-01
9.000000000000000000e+00 6.698262969666100020e-01
9.500000000000000000e+00 6.698245060863400324e-01
9.500000000000000000e+00 6.698245060863400324e-01
9.500000000000000000e+00 6.698245060863400324e-01
9.500000000000000000e+00 6.698245060863400324e-01
1.000000000000000000e+01 6.698217251347730050e-01
1.000000000000000000e+01 6.698217251347730050e-01
1.000000000000000000e+01 6.698217251347730050e-01
1.000000000000000000e+01 6.698217251347730050e-01
1.000000000000000000e+01 6.698217251347730050e-01
1.050000000000000000e+01 6.698214618129829656e-01
1.050000000000000000e+01 6.698214618129829656e-01
1.050000000000000000e+01 6.698214618129829656e-01
1.050000000000000000e+01 6.698214618129829656e-01
1.100000000000000000e+01 6.698207470875839897e-01
1.100000000000000000e+01 6.698207470875839897e-01
1.100000000000000000e+01 6.698207470875839897e-01
1.100000000000000000e+01 6.698207470875839897e-01
1.100000000000000000e+01 6.698207470875839897e-01
1.150000000000000000e+01 6.698166431703540535e-01
1.150000000000000000e+01 6.698166431703540535e-01
1.150000000000000000e+01 6.698166431703540535e-01
1.150000000000000000e+01 6.698166431703540535e-01
1.200000000000000000e+01 6.698176692729820303e-01
1.200000000000000000e+01 6.698176692729820303e-01
1.200000000000000000e+01 6.698176692729820303e-01
1.200000000000000000e+01 6.698176692729820303e-01
1.200000000000000000e+01 6.698176692729820303e-01
1.250000000000000000e+01 6.698154293882040422e-01
1.250000000000000000e+01 6.698154293882040422e-01
1.250000000000000000e+01 6.698154293882040422e-01
1.250000000000000000e+01 6.698154293882040422e-01
1.300000000000000000e+01 6.698155260028639812e-01
1.300000000000000000e+01 6.698155260028639812e-01
1.300000000000000000e+01 6.698155260028639812e-01
1.300000000000000000e+01 6.698155260028639812e-01
1.300000000000000000e+01 6.698155260028639812e-01
