t rho
3.200000000000000067e-01 2.280122400176539787e-03
3.200000000000000067e-01 2.280122400176539787e-03
3.200000000000000067e-01 2.280122400176539787e-03
6.400000000000000133e-01 2.280140499921790107e-03
6.400000000000000133e-01 2.280140499921790107e-03
6.400000000000000133e-01 2.280140499921790107e-03
9.599999999999999645e-01 2.280162987537409994e-03
9.599999999999999645e-01 2.280162987537409994e-03
9.599999999999999645e-01 2.280162987537409994e-03
1.280000000000000027e+00 2.280193471144889832e-03
1.280000000000000027e+00 2.280193471144889832e-03
1.280000000000000027e+00 2.280193471144889832e-03
1.600000000000000089e+00 2.280221634746080160e-03
1.600000000000000089e+00 2.280221634746080160e-03
1.600000000000000089e+00 2.280221634746080160e-03
1.919999999999999929e+00 2.280275120841179955e-03
1.919999999999999929e+00 2.280275120841179955e-03
1.919999999999999929e+00 2.280275120841179955e-03
2.240000000000000213e+00 2.280322199447469816e-03
2.240000000000000213e+00 2.280322199447469816e-03
2.240000000000000213e+00 2.280322199447469816e-03
2.560000000000000053e+00 2.280387742977849855e-03
2.560000000000000053e+00 2.280387742977849855e-03
2.560000000000000053e+00 2.280387742977849855e-03
2.879999999999999893e+00 2.280456803389330038e-03
2.879999999999999893e+00 2.280456803389330038e-03
2.879999999999999893e+00 2.280456803389330038e-03
3.200000000000000178e+00 2.280528096589619965e-03
3.200000000000000178e+00 2.280528096589619965e-03
3.200000000000000178e+00 2.280528096589619965e-03
3.520000000000000018e+00 2.280611253015520090e-03
3.520000000000000018e+00 2.280611253015520090e-03
3.520000000000000018e+00 2.280611253015520090e-03
3.839999999999999858e+00 2.280691965700020005e-03
3.839999999999999858e+00 2.280691965700020005e-03
3.839999999999999858e+00 2.280691965700020005e-03
4.160000000000000142e+00 2.280778699445579812e-03
4.160000000000000142e+00 2.280778699445579812e-03
4.160000000000000142e+00 2.280778699445579812e-03
4.480000000000000426e+00 2.280878555809860014e-03
4.480000000000000426e+00 2.280878555809860014e-03
4.480000000000000426e+00 2.280878555809860014e-03
4.799999999999999822e+00 2.280978496459799831e-03
4.799999999999999822e+00 2.280978496459799831e-03
4.799999999999999822e+00 2.280978496459799831e-03
5.120000000000000107e+00 2.281093327492769978e-03
5.120000000000000107e+00 2.281093327492769978e-03
5.120000000000000107e+00 2.281093327492769978e-03
5.440000000000000391e+00 2.281218134893819860e-03
5.440000000000000391e+00 2.281218134893819860e-03
5.440000000000000391e+00 2.281218134893819860e-03
5.759999999999999787e+00 2.281348100919699997e-03
5.759999999999999787e+00 2.281348100919699997e-03
5.759999999999999787e+00 2.281348100919699997e-03
6.080000000000000071e+00 2.281483426147690001e-03
6.080000000000000071e+00 2.281483426147690001e-03
6.080000000000000071e+00 2.281483426147690001e-03
6.400000000000000355e+00 2.281615867220650185e-03
6.400000000000000355e+00 2.281615867220650185e-03
6.400000000000000355e+00 2.281615867220650185e-03
6.719999999999999751e+00 2.281759508616140047e-03
6.719999999999999751e+00 2.281759508616140047e-03
6.719999999999999751e+00 2.281759508616140047e-03
7.040000000000000036e+00 2.281892355920780036e-03
7.040000000000000036e+00 2.281892355920780036e-03
7.040000000000000036e+00 2.281892355920780036e-03
7.360000000000000320e+00 2.282046059096359998e-03
7.360000000000000320e+00 2.282046059096359998e-03
7.360000000000000320e+00 2.282046059096359998e-03
7.679999999999999716e+00 2.282185015808040150e-03
