t rho
3.200000000000000067e-01 2.280116275837830008e-03
3.200000000000000067e-01 2.280116275837830008e-03
3.200000000000000067e-01 2.280116275837830008e-03
6.400000000000000133e-01 2.280126403541759845e-03
6.400000000000000133e-01 2.280126403541759845e-03
6.400000000000000133e-01 2.280126403541759845e-03
9.599999999999999645e-01 2.280132110722499997e-03
9.599999999999999645e-01 2.280132110722499997e-03
9.599999999999999645e-01 2.280132110722499997e-03
1.280000000000000027e+00 2.280149422927040155e-03
1.280000000000000027e+00 2.280149422927040155e-03
1.280000000000000027e+00 2.280149422927040155e-03
1.600000000000000089e+00 2.280153441926500209e-03
1.600000000000000089e+00 2.280153441926500209e-03
1.600000000000000089e+00 2.280153441926500209e-03
1.919999999999999929e+00 2.280154585748960135e-03
1.919999999999999929e+00 2.280154585748960135e-03
1.919999999999999929e+00 2.280154585748960135e-03
2.240000000000000213e+00 2.280153233994249799e-03
2.240000000000000213e+00 2.280153233994249799e-03
2.240000000000000213e+00 2.280153233994249799e-03
2.560000000000000053e+00 2.280159218756690198e-03
2.560000000000000053e+00 2.280159218756690198e-03
2.560000000000000053e+00 2.280159218756690198e-03
2.879999999999999893e+00 2.280167157439679827e-03
2.879999999999999893e+00 2.280167157439679827e-03
2.879999999999999893e+00 2.280167157439679827e-03
3.200000000000000178e+00 2.280159122949270041e-03
3.200000000000000178e+00 2.280159122949270041e-03
3.200000000000000178e+00 2.280159122949270041e-03
3.520000000000000018e+00 2.280154405537839803e-03
3.520000000000000018e+00 2.280154405537839803e-03
3.520000000000000018e+00 2.280154405537839803e-03
3.839999999999999858e+00 2.280148676235470035e-03
3.839999999999999858e+00 2.280148676235470035e-03
3.839999999999999858e+00 2.280148676235470035e-03
4.160000000000000142e+00 2.280156127481440097e-03
4.160000000000000142e+00 2.280156127481440097e-03
4.160000000000000142e+00 2.280156127481440097e-03
4.480000000000000426e+00 2.280174771101850170e-03
4.480000000000000426e+00 2.280174771101850170e-03
4.480000000000000426e+00 2.280174771101850170e-03
4.799999999999999822e+00 2.280179074087240049e-03
4.799999999999999822e+00 2.280179074087240049e-03
4.799999999999999822e+00 2.280179074087240049e-03
5.120000000000000107e+00 2.280178722164610122e-03
5.120000000000000107e+00 2.280178722164610122e-03
5.120000000000000107e+00 2.280178722164610122e-03
5.440000000000000391e+00 2.280180295413939979e-03
5.440000000000000391e+00 2.280180295413939979e-03
5.440000000000000391e+00 2.280180295413939979e-03
5.759999999999999787e+00 2.280164584250920102e-03
5.759999999999999787e+00 2.280164584250920102e-03
5.759999999999999787e+00 2.280164584250920102e-03
6.080000000000000071e+00 2.280160661242269966e-03
6.080000000000000071e+00 2.280160661242269966e-03
6.080000000000000071e+00 2.280160661242269966e-03
6.400000000000000355e+00 2.280140527849350111e-03
6.400000000000000355e+00 2.280140527849350111e-03
6.400000000000000355e+00 2.280140527849350111e-03
6.719999999999999751e+00 2.280138536529040076e-03
6.719999999999999751e+00 2.280138536529040076e-03
6.719999999999999751e+00 2.280138536529040076e-03
7.040000000000000036e+00 2.280142032290629998e-03
7.040000000000000036e+00 2.280142032290629998e-03
7.040000000000000036e+00 2.280142032290629998e-03
7.360000000000000320e+00 2.280155421788880154e-03
7.360000000000000320e+00 2.280155421788880154e-03
7.360000000000000320e+00 2.280155421788880154e-03
7.679999999999999716e+00 2.280169896055500058e-03
7.679999999999999716e+00 2.280169896055500058e-03
7.679999999999999716e+00 2.280169896055500058e-03
8.000000000000000000e+00 2.280170326614529893e-03
8.000000000000000000e+00 2.280170326614529893e-03
8.000000000000000000e+00 2.280170326614529893e-03
8.320000000000000284e+00 2.280162913921629855e-03
8.320000000000000284e+00 2.280162913921629855e-03
8.320000000000000284e+00 2.280162913921629855e-03
8.640000000000000568e+00 2.280157198377590066e-03
8.640000000000000568e+00 2.280157198377590066e-03
8.640000000000000568e+00 2.280157198377590066e-03
8.960000000000000853e+00 2.280155896041729819e-03
8.960000000000000853e+00 2.280155896041729819e-03
8.960000000000000853e+00 2.280155896041729819e-03
9.279999999999999361e+00 2.280159783299339805e-03
9.279999999999999361e+00 2.280159783299339805e-03
9.279999999999999361e+00 2.280159783299339805e-03
9.599999999999999645e+00 2.280165000932909795e-03
9.599999999999999645e+00 2.280165000932909795e-03
9.599999999999999645e+00 2.280165000932909795e-03
9.919999999999999929e+00 2.280153731446449891e-03
9.919999999999999929e+00 2.280153731446449891e-03
9.919999999999999929e+00 2.280153731446449891e-03
1.024000000000000021e+01 2.280147240740109868e-03
1.024000000000000021e+01 2.280147240740109868e-03
1.024000000000000021e+01 2.280147240740109868e-03
1.056000000000000050e+01 2.280138604579760083e-03
1.056000000000000050e+01 2.280138604579760083e-03
1.056000000000000050e+01 2.280138604579760083e-03
1.088000000000000078e+01 2.280135715694880071e-03
1.088000000000000078e+01 2.280135715694880071e-03
1.088000000000000078e+01 2.280135715694880071e-03
1.119999999999999929e+01 2.280131812053329873e-03
1.119999999999999929e+01 2.280131812053329873e-03
1.119999999999999929e+01 2.280131812053329873e-03
1.151999999999999957e+01 2.280128620230650015e-03
1.151999999999999957e+01 2.280128620230650015e-03
1.151999999999999957e+01 2.280128620230650015e-03
1.183999999999999986e+01 2.280121975195499844e-03
1.183999999999999986e+01 2.280121975195499844e-03
1.183999999999999986e+01 2.280121975195499844e-03
1.216000000000000014e+01 2.280122763582919862e-03
1.216000000000000014e+01 2.280122763582919862e-03
1.216000000000000014e+01 2.280122763582919862e-03
1.248000000000000043e+01 2.280125229426290066e-03
1.248000000000000043e+01 2.280125229426290066e-03
1.248000000000000043e+01 2.280125229426290066e-03
