t ham
0.000000000000000000e+00 1.870676972210000055e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 1.375418929438040068e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 1.090146142797059948e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 9.701451544894439452e-07
2.240000000000000213e+00 inf
2.560000000000000053e+00 9.433735832137690237e-07
2.879999999999999893e+00 inf
3.200000000000000178e+00 9.535777414003540442e-07
3.520000000000000018e+00 inf
3.839999999999999858e+00 9.903131589633059532e-07
4.160000000000000142e+00 inf
4.480000000000000426e+00 9.945483083833220854e-07
4.799999999999999822e+00 inf
5.120000000000000107e+00 1.000825781654789970e-06
5.440000000000000391e+00 inf
5.759999999999999787e+00 9.969654012036069272e-07
6.080000000000000071e+00 inf
6.400000000000000355e+00 9.951040798031300485e-07
6.719999999999999751e+00 inf
7.040000000000000036e+00 9.819135922753060791e-07
7.360000000000000320e+00 inf
7.679999999999999716e+00 9.790879213669780734e-07
8.000000000000000000e+00 inf
8.320000000000000284e+00 9.703232308076639543e-07
8.640000000000000568e+00 inf
8.960000000000000853e+00 9.710676145215909774e-07
9.279999999999999361e+00 inf
9.599999999999999645e+00 9.715210509333160154e-07
9.919999999999999929e+00 inf
1.024000000000000021e+01 9.787675701216660608e-07
1.056000000000000050e+01 inf
1.088000000000000078e+01 9.810879606420579263e-07
1.119999999999999929e+01 inf
1.151999999999999957e+01 9.814970486872909305e-07
1.183999999999999986e+01 inf
1.216000000000000014e+01 9.852039783629090809e-07
1.248000000000000043e+01 inf
1.280000000000000071e+01 9.930416658396509575e-07
1.311999999999999922e+01 inf
1.343999999999999950e+01 9.899861404291350151e-07
1.375999999999999979e+01 inf
1.408000000000000007e+01 9.989759277409779747e-07
1.440000000000000036e+01 inf
1.472000000000000064e+01 9.989027534670620258e-07
1.503999999999999915e+01 inf
1.535999999999999943e+01 1.008569392984960089e-06
1.567999999999999972e+01 inf
1.600000000000000000e+01 1.011413215295070006e-06
1.632000000000000028e+01 inf
1.664000000000000057e+01 1.008410347739259972e-06
1.696000000000000085e+01 inf
1.728000000000000114e+01 1.010371411183400047e-06
1.760000000000000142e+01 inf
1.792000000000000171e+01 1.009526899796989912e-06
1.823999999999999844e+01 inf
1.855999999999999872e+01 1.019804590453439911e-06
1.887999999999999901e+01 inf
1.919999999999999929e+01 1.023146750071629940e-06
1.951999999999999957e+01 inf
1.983999999999999986e+01 1.020200953152120082e-06
2.016000000000000014e+01 inf
2.048000000000000043e+01 1.029066327578639923e-06
2.080000000000000071e+01 inf
2.112000000000000099e+01 1.025118482858489977e-06
2.144000000000000128e+01 inf
2.176000000000000156e+01 1.030082271453029910e-06
2.207999999999999829e+01 inf
2.239999999999999858e+01 1.031913254903480102e-06
2.271999999999999886e+01 inf
2.303999999999999915e+01 1.032872840659039956e-06
2.335999999999999943e+01 inf
2.367999999999999972e+01 1.037539209204600015e-06
2.400000000000000000e+01 inf
2.432000000000000028e+01 1.040603397296950033e-06
2.464000000000000057e+01 inf
2.496000000000000085e+01 1.040624097892399922e-06
2.528000000000000114e+01 inf
2.560000000000000142e+01 1.049579277106220026e-06
2.592000000000000171e+01 inf
2.623999999999999844e+01 1.048340941306590088e-06
2.655999999999999872e+01 inf
2.687999999999999901e+01 1.052714659819220006e-06
2.719999999999999929e+01 inf
2.751999999999999957e+01 1.059725671054760091e-06
2.783999999999999986e+01 inf
2.816000000000000014e+01 1.056604950015620063e-06
2.848000000000000043e+01 inf
2.880000000000000071e+01 1.056062816082759929e-06
2.912000000000000099e+01 inf
2.944000000000000128e+01 1.064125616068330008e-06
2.976000000000000156e+01 inf
3.007999999999999829e+01 1.067167032728679972e-06
3.039999999999999858e+01 inf
3.071999999999999886e+01 1.074870072426720097e-06
3.103999999999999915e+01 inf
3.135999999999999943e+01 1.073490404142630074e-06
3.167999999999999972e+01 inf
3.200000000000000000e+01 1.075794261201310057e-06
3.232000000000000028e+01 inf
3.264000000000000057e+01 1.080087416036219899e-06
3.296000000000000085e+01 inf
3.328000000000000114e+01 1.081433440450050099e-06
3.360000000000000142e+01 inf
3.392000000000000171e+01 1.078067734504769966e-06
3.424000000000000199e+01 inf
3.456000000000000227e+01 1.084628654640369964e-06
3.488000000000000256e+01 inf
3.520000000000000284e+01 1.083807554151190070e-06
3.552000000000000313e+01 inf
3.584000000000000341e+01 1.090085181100659997e-06
3.615999999999999659e+01 inf
3.647999999999999687e+01 1.085237479231080020e-06
3.679999999999999716e+01 inf
3.711999999999999744e+01 1.092329531271799936e-06
3.743999999999999773e+01 inf
3.775999999999999801e+01 1.096306485196659989e-06
3.807999999999999829e+01 inf
3.839999999999999858e+01 1.096498603455719945e-06
3.871999999999999886e+01 inf
3.903999999999999915e+01 1.095621203172079914e-06
3.935999999999999943e+01 inf
3.967999999999999972e+01 1.101749611032870008e-06
4.000000000000000000e+01 inf
4.032000000000000028e+01 1.106281790881309947e-06
4.064000000000000057e+01 inf
4.096000000000000085e+01 1.111638406254130062e-06
4.128000000000000114e+01 inf
4.160000000000000142e+01 1.109365075635270014e-06
4.192000000000000171e+01 inf
4.224000000000000199e+01 1.110231726903129898e-06
4.256000000000000227e+01 inf
4.288000000000000256e+01 1.108679909714629984e-06
4.320000000000000284e+01 inf
4.352000000000000313e+01 1.108975692096020090e-06
4.384000000000000341e+01 inf
4.415999999999999659e+01 1.115748139132600038e-06
4.447999999999999687e+01 inf
4.479999999999999716e+01 1.122127826530870017e-06
4.511999999999999744e+01 inf
4.543999999999999773e+01 1.115772059801480094e-06
4.575999999999999801e+01 inf
4.607999999999999829e+01 1.123709515906440062e-06
4.639999999999999858e+01 inf
4.671999999999999886e+01 1.124265695640990008e-06
4.703999999999999915e+01 inf
4.735999999999999943e+01 1.124482955001540005e-06
4.767999999999999972e+01 inf
4.800000000000000000e+01 1.130854490769840003e-06
4.832000000000000028e+01 inf
4.864000000000000057e+01 1.130885967427709993e-06
4.896000000000000085e+01 inf
4.928000000000000114e+01 1.130527439967519917e-06
4.960000000000000142e+01 inf
4.992000000000000171e+01 1.133183430610690044e-06
5.024000000000000199e+01 inf
5.056000000000000227e+01 1.130700681261370084e-06
5.088000000000000256e+01 inf
5.120000000000000284e+01 1.142935321306639913e-06
5.152000000000000313e+01 inf
5.184000000000000341e+01 1.138490026752330019e-06
5.215999999999999659e+01 inf
5.247999999999999687e+01 1.138882732222660029e-06
5.279999999999999716e+01 inf
5.311999999999999744e+01 1.140104397454769938e-06
5.343999999999999773e+01 inf
5.375999999999999801e+01 1.145456094621629916e-06
5.407999999999999829e+01 inf
5.439999999999999858e+01 1.146329536782000014e-06
5.471999999999999886e+01 inf
5.503999999999999915e+01 1.153290873371299926e-06
5.535999999999999943e+01 inf
5.567999999999999972e+01 1.147073676189229921e-06
5.600000000000000000e+01 inf
5.632000000000000028e+01 1.157488870599140074e-06
5.664000000000000057e+01 inf
5.696000000000000085e+01 1.152255541637199957e-06
5.728000000000000114e+01 inf
5.760000000000000142e+01 1.159273122677880018e-06
5.792000000000000171e+01 inf
5.824000000000000199e+01 1.159044357436629930e-06
5.856000000000000227e+01 inf
5.888000000000000256e+01 1.159030170786120059e-06
5.920000000000000284e+01 inf
5.952000000000000313e+01 1.162121284726570018e-06
5.984000000000000341e+01 inf
6.015999999999999659e+01 1.163179234102500083e-06
6.047999999999999687e+01 inf
6.079999999999999716e+01 1.162377027450270087e-06
6.111999999999999744e+01 inf
6.143999999999999773e+01 1.163226061157930060e-06
6.175999999999999801e+01 inf
6.207999999999999829e+01 1.167924012162999990e-06
6.239999999999999858e+01 inf
6.271999999999999886e+01 1.165020996497219986e-06
6.303999999999999915e+01 inf
6.335999999999999943e+01 1.173959712097330094e-06
6.367999999999999972e+01 inf
6.400000000000000000e+01 1.174971047624749987e-06
6.431999999999999318e+01 inf
