t ham
0.000000000000000000e+00 4.394927171076529892e-06
2.399999999999999911e-01 inf
4.799999999999999822e-01 4.750891064475160385e-06
7.199999999999999734e-01 inf
9.599999999999999645e-01 4.782492639892099795e-06
1.199999999999999956e+00 inf
1.439999999999999947e+00 4.808702254367880104e-06
1.679999999999999938e+00 inf
1.919999999999999929e+00 4.840421560951940230e-06
2.160000000000000142e+00 inf
2.399999999999999911e+00 4.879149987767819873e-06
2.640000000000000124e+00 inf
2.879999999999999893e+00 4.931400276359809923e-06
3.120000000000000107e+00 inf
3.359999999999999876e+00 5.028636137728339622e-06
3.600000000000000089e+00 inf
3.839999999999999858e+00 5.116466404133980019e-06
4.080000000000000071e+00 inf
4.320000000000000284e+00 5.221484060259459841e-06
4.559999999999999609e+00 inf
4.799999999999999822e+00 5.324087007427189599e-06
5.040000000000000036e+00 inf
5.280000000000000249e+00 5.435379980380960153e-06
5.519999999999999574e+00 inf
5.759999999999999787e+00 5.548184976736380175e-06
6.000000000000000000e+00 inf
6.240000000000000213e+00 5.670902268069679854e-06
6.480000000000000426e+00 inf
6.719999999999999751e+00 5.805503166677189701e-06
6.959999999999999964e+00 inf
7.200000000000000178e+00 5.937927365946740151e-06
7.440000000000000391e+00 inf
7.679999999999999716e+00 6.076191609209260233e-06
7.919999999999999929e+00 inf
8.160000000000000142e+00 6.217392278407989633e-06
8.400000000000000355e+00 inf
8.640000000000000568e+00 6.349887341233969665e-06
8.880000000000000782e+00 inf
9.119999999999999218e+00 6.487007297511940360e-06
9.359999999999999432e+00 inf
9.599999999999999645e+00 6.635217617574070092e-06
9.839999999999999858e+00 inf
1.008000000000000007e+01 6.789059775914219836e-06
1.032000000000000028e+01 inf
1.056000000000000050e+01 6.936745772833140365e-06
1.080000000000000071e+01 inf
1.103999999999999915e+01 7.089266568620949580e-06
1.127999999999999936e+01 inf
1.151999999999999957e+01 7.245575551127949900e-06
1.175999999999999979e+01 inf
1.200000000000000000e+01 7.408598991224820265e-06
1.224000000000000021e+01 inf
1.248000000000000043e+01 7.575991241549320203e-06
1.272000000000000064e+01 inf
1.296000000000000085e+01 7.747384109293439732e-06
1.319999999999999929e+01 inf
1.343999999999999950e+01 7.893530678004129716e-06
1.367999999999999972e+01 inf
1.391999999999999993e+01 8.060717374778169475e-06
1.416000000000000014e+01 inf
1.440000000000000036e+01 8.233507505009670193e-06
1.464000000000000057e+01 inf
1.488000000000000078e+01 8.402743349906550193e-06
1.511999999999999922e+01 inf
1.535999999999999943e+01 8.561938744919460266e-06
1.559999999999999964e+01 inf
1.583999999999999986e+01 8.739404326663469414e-06
1.607999999999999829e+01 inf
1.632000000000000028e+01 8.902215409391789550e-06
1.655999999999999872e+01 inf
1.680000000000000071e+01 9.072297004852649709e-06
1.703999999999999915e+01 inf
1.728000000000000114e+01 9.254908995421249623e-06
1.751999999999999957e+01 inf
1.776000000000000156e+01 9.441630244025440177e-06
1.800000000000000000e+01 inf
