t rho
7.500000000000000000e-01 2.071077287040990096e-03
7.500000000000000000e-01 2.071077287040990096e-03
7.500000000000000000e-01 2.071077287040990096e-03
7.500000000000000000e-01 2.071077287040990096e-03
7.500000000000000000e-01 2.071077287040990096e-03
1.500000000000000000e+00 2.071078364439600094e-03
1.500000000000000000e+00 2.071078364439600094e-03
1.500000000000000000e+00 2.071078364439600094e-03
1.500000000000000000e+00 2.071078364439600094e-03
1.500000000000000000e+00 2.071078364439600094e-03
2.250000000000000000e+00 2.071074373172169820e-03
2.250000000000000000e+00 2.071074373172169820e-03
2.250000000000000000e+00 2.071074373172169820e-03
2.250000000000000000e+00 2.071074373172169820e-03
2.250000000000000000e+00 2.071074373172169820e-03
3.000000000000000000e+00 2.071068114994220003e-03
3.000000000000000000e+00 2.071068114994220003e-03
3.000000000000000000e+00 2.071068114994220003e-03
3.000000000000000000e+00 2.071068114994220003e-03
3.000000000000000000e+00 2.071068114994220003e-03
3.750000000000000000e+00 2.071059093505400132e-03
3.750000000000000000e+00 2.071059093505400132e-03
3.750000000000000000e+00 2.071059093505400132e-03
3.750000000000000000e+00 2.071059093505400132e-03
3.750000000000000000e+00 2.071059093505400132e-03
4.500000000000000000e+00 2.071042097828049849e-03
4.500000000000000000e+00 2.071042097828049849e-03
4.500000000000000000e+00 2.071042097828049849e-03
4.500000000000000000e+00 2.071042097828049849e-03
4.500000000000000000e+00 2.071042097828049849e-03
5.250000000000000000e+00 2.071032945116420016e-03
5.250000000000000000e+00 2.071032945116420016e-03
5.250000000000000000e+00 2.071032945116420016e-03
5.250000000000000000e+00 2.071032945116420016e-03
5.250000000000000000e+00 2.071032945116420016e-03
6.000000000000000000e+00 2.071024264532800047e-03
6.000000000000000000e+00 2.071024264532800047e-03
6.000000000000000000e+00 2.071024264532800047e-03
6.000000000000000000e+00 2.071024264532800047e-03
6.000000000000000000e+00 2.071024264532800047e-03
6.750000000000000000e+00 2.071021801570449919e-03
6.750000000000000000e+00 2.071021801570449919e-03
6.750000000000000000e+00 2.071021801570449919e-03
6.750000000000000000e+00 2.071021801570449919e-03
6.750000000000000000e+00 2.071021801570449919e-03
7.500000000000000000e+00 2.071011923868459805e-03
7.500000000000000000e+00 2.071011923868459805e-03
7.500000000000000000e+00 2.071011923868459805e-03
7.500000000000000000e+00 2.071011923868459805e-03
7.500000000000000000e+00 2.071011923868459805e-03
8.250000000000000000e+00 2.071002572970269927e-03
8.250000000000000000e+00 2.071002572970269927e-03
8.250000000000000000e+00 2.071002572970269927e-03
8.250000000000000000e+00 2.071002572970269927e-03
8.250000000000000000e+00 2.071002572970269927e-03
9.000000000000000000e+00 2.070997358140310145e-03
9.000000000000000000e+00 2.070997358140310145e-03
9.000000000000000000e+00 2.070997358140310145e-03
9.000000000000000000e+00 2.070997358140310145e-03
9.000000000000000000e+00 2.070997358140310145e-03
9.750000000000000000e+00 2.071001753075659823e-03
9.750000000000000000e+00 2.071001753075659823e-03
9.750000000000000000e+00 2.071001753075659823e-03
9.750000000000000000e+00 2.071001753075659823e-03
9.750000000000000000e+00 2.071001753075659823e-03
1.050000000000000000e+01 2.071003860540640128e-03
1.050000000000000000e+01 2.071003860540640128e-03
1.050000000000000000e+01 2.071003860540640128e-03
1.050000000000000000e+01 2.071003860540640128e-03
1.050000000000000000e+01 2.071003860540640128e-03
1.125000000000000000e+01 2.071010189062359817e-03
1.125000000000000000e+01 2.071010189062359817e-03
1.125000000000000000e+01 2.071010189062359817e-03
1.125000000000000000e+01 2.071010189062359817e-03
1.125000000000000000e+01 2.071010189062359817e-03
1.200000000000000000e+01 2.071020480368090163e-03
