t phi
9.599999999999999645e-01 -6.464686210757699669e-01
9.599999999999999645e-01 -6.464686210757699669e-01
9.599999999999999645e-01 -6.464686210757699669e-01
9.599999999999999645e-01 -6.464686210757699669e-01
9.599999999999999645e-01 -6.464686210757699669e-01
1.919999999999999929e+00 -6.464702778372040104e-01
1.919999999999999929e+00 -6.464702778372040104e-01
1.919999999999999929e+00 -6.464702778372040104e-01
1.919999999999999929e+00 -6.464702778372040104e-01
1.919999999999999929e+00 -6.464702778372040104e-01
2.879999999999999893e+00 -6.464755932087510315e-01
2.879999999999999893e+00 -6.464755932087510315e-01
2.879999999999999893e+00 -6.464755932087510315e-01
2.879999999999999893e+00 -6.464755932087510315e-01
2.879999999999999893e+00 -6.464755932087510315e-01
3.839999999999999858e+00 -6.464740888421890430e-01
3.839999999999999858e+00 -6.464740888421890430e-01
3.839999999999999858e+00 -6.464740888421890430e-01
3.839999999999999858e+00 -6.464740888421890430e-01
3.839999999999999858e+00 -6.464740888421890430e-01
4.799999999999999822e+00 -6.464688796907069879e-01
4.799999999999999822e+00 -6.464688796907069879e-01
4.799999999999999822e+00 -6.464688796907069879e-01
4.799999999999999822e+00 -6.464688796907069879e-01
4.799999999999999822e+00 -6.464688796907069879e-01
5.759999999999999787e+00 -6.464706631661779612e-01
5.759999999999999787e+00 -6.464706631661779612e-01
5.759999999999999787e+00 -6.464706631661779612e-01
5.759999999999999787e+00 -6.464706631661779612e-01
5.759999999999999787e+00 -6.464706631661779612e-01
6.719999999999999751e+00 -6.464715546324739659e-01
6.719999999999999751e+00 -6.464715546324739659e-01
6.719999999999999751e+00 -6.464715546324739659e-01
6.719999999999999751e+00 -6.464715546324739659e-01
6.719999999999999751e+00 -6.464715546324739659e-01
7.679999999999999716e+00 -6.464683648423960038e-01
7.679999999999999716e+00 -6.464683648423960038e-01
7.679999999999999716e+00 -6.464683648423960038e-01
7.679999999999999716e+00 -6.464683648423960038e-01
7.679999999999999716e+00 -6.464683648423960038e-01
8.640000000000000568e+00 -6.464610812898370362e-01
8.640000000000000568e+00 -6.464610812898370362e-01
8.640000000000000568e+00 -6.464610812898370362e-01
8.640000000000000568e+00 -6.464610812898370362e-01
8.640000000000000568e+00 -6.464610812898370362e-01
9.599999999999999645e+00 -6.464598943490580396e-01
9.599999999999999645e+00 -6.464598943490580396e-01
9.599999999999999645e+00 -6.464598943490580396e-01
9.599999999999999645e+00 -6.464598943490580396e-01
9.599999999999999645e+00 -6.464598943490580396e-01
1.056000000000000050e+01 -6.464582918780900078e-01
