t ham
0.000000000000000000e+00 4.690704840910200028e-06
9.599999999999999645e-01 4.018431240601359686e-06
1.919999999999999929e+00 4.161947394810300191e-06
2.879999999999999893e+00 4.108179744419310222e-06
3.839999999999999858e+00 4.075826563293519695e-06
4.799999999999999822e+00 3.989751775225770261e-06
5.759999999999999787e+00 3.919936932025040070e-06
6.719999999999999751e+00 4.009045349812609673e-06
7.679999999999999716e+00 3.857093548210820343e-06
8.640000000000000568e+00 3.845676056032850316e-06
9.599999999999999645e+00 4.122439457193380159e-06
1.056000000000000050e+01 4.004216090063769990e-06
1.151999999999999957e+01 4.046294771098620363e-06
1.248000000000000043e+01 3.926155193548900411e-06
1.343999999999999950e+01 3.853248335885230228e-06
1.440000000000000036e+01 3.908098983865560230e-06
1.535999999999999943e+01 3.819431799380389854e-06
1.632000000000000028e+01 4.120221948452649699e-06
1.728000000000000114e+01 4.069925640311629809e-06
1.823999999999999844e+01 3.869754337937920054e-06
1.919999999999999929e+01 3.917591931410679729e-06
2.016000000000000014e+01 3.927122516506669696e-06
2.112000000000000099e+01 3.835415803872490090e-06
2.207999999999999829e+01 3.823275684954620301e-06
2.303999999999999915e+01 4.001571936849760175e-06
2.400000000000000000e+01 4.185381833597000090e-06
2.496000000000000085e+01 3.923309802551620010e-06
2.592000000000000171e+01 3.983081553959549764e-06
2.687999999999999901e+01 3.958284392616130068e-06
2.783999999999999986e+01 3.916577278625320235e-06
2.880000000000000071e+01 3.785926934533179833e-06
2.976000000000000156e+01 3.829044117241250170e-06
3.071999999999999886e+01 3.926723162880939658e-06
3.167999999999999972e+01 3.831717528938940404e-06
3.264000000000000057e+01 3.911641828806719750e-06
3.360000000000000142e+01 3.922366807035049695e-06
3.456000000000000227e+01 3.946727958825409713e-06
3.552000000000000313e+01 3.824303604193910310e-06
3.647999999999999687e+01 4.142655330832920226e-06
3.743999999999999773e+01 3.971339157848040119e-06
3.839999999999999858e+01 4.205507981755649796e-06
3.935999999999999943e+01 3.746431259353400177e-06
4.032000000000000028e+01 3.889560687657669633e-06
4.128000000000000114e+01 3.880120472087950035e-06
4.224000000000000199e+01 4.068034184197960251e-06
4.320000000000000284e+01 3.712712354210010139e-06
4.415999999999999659e+01 3.993856596021990342e-06
4.511999999999999744e+01 3.835608350328880205e-06
4.607999999999999829e+01 3.937413532356820410e-06
4.703999999999999915e+01 3.741989369402220159e-06
4.800000000000000000e+01 3.812182841770949923e-06
4.896000000000000085e+01 3.928704849507880408e-06
4.992000000000000171e+01 3.956109519148499727e-06
5.088000000000000256e+01 3.858540825502889981e-06
5.184000000000000341e+01 3.876747200040239772e-06
5.279999999999999716e+01 3.858282967640799608e-06
5.375999999999999801e+01 3.776680017293900126e-06
5.471999999999999886e+01 3.932256806872270124e-06
5.567999999999999972e+01 3.873376844163420091e-06
5.664000000000000057e+01 3.814971073645690141e-06
5.760000000000000142e+01 3.677462794965689849e-06
