t lapse
0.000000000000000000e+00 5.499855967256890299e-01
0.000000000000000000e+00 5.499855967256890299e-01
0.000000000000000000e+00 5.499855967256890299e-01
2.500000000000000000e-01 5.499839689268839482e-01
2.500000000000000000e-01 5.499839689268839482e-01
2.500000000000000000e-01 5.499839689268839482e-01
5.000000000000000000e-01 5.499846158414769537e-01
5.000000000000000000e-01 5.499846158414769537e-01
5.000000000000000000e-01 5.499846158414769537e-01
7.500000000000000000e-01 5.499836083543480081e-01
7.500000000000000000e-01 5.499836083543480081e-01
7.500000000000000000e-01 5.499836083543480081e-01
1.000000000000000000e+00 5.499852102494190431e-01
1.000000000000000000e+00 5.499852102494190431e-01
1.000000000000000000e+00 5.499852102494190431e-01
1.250000000000000000e+00 5.499853228521720538e-01
1.250000000000000000e+00 5.499853228521720538e-01
1.250000000000000000e+00 5.499853228521720538e-01
1.500000000000000000e+00 5.499754273928100234e-01
1.500000000000000000e+00 5.499754273928100234e-01
1.500000000000000000e+00 5.499754273928100234e-01
1.750000000000000000e+00 5.499847386389850046e-01
1.750000000000000000e+00 5.499847386389850046e-01
1.750000000000000000e+00 5.499847386389850046e-01
2.000000000000000000e+00 5.499810182202969910e-01
2.000000000000000000e+00 5.499810182202969910e-01
2.000000000000000000e+00 5.499810182202969910e-01
2.250000000000000000e+00 5.499891137272400199e-01
2.250000000000000000e+00 5.499891137272400199e-01
2.250000000000000000e+00 5.499891137272400199e-01
2.500000000000000000e+00 5.499813187692760286e-01
2.500000000000000000e+00 5.499813187692760286e-01
2.500000000000000000e+00 5.499813187692760286e-01
2.750000000000000000e+00 5.499827483717020238e-01
2.750000000000000000e+00 5.499827483717020238e-01
2.750000000000000000e+00 5.499827483717020238e-01
3.000000000000000000e+00 5.499855626060180525e-01
3.000000000000000000e+00 5.499855626060180525e-01
3.000000000000000000e+00 5.499855626060180525e-01
3.250000000000000000e+00 5.499843189294070234e-01
3.250000000000000000e+00 5.499843189294070234e-01
3.250000000000000000e+00 5.499843189294070234e-01
3.500000000000000000e+00 5.499774652376590023e-01
3.500000000000000000e+00 5.499774652376590023e-01
3.500000000000000000e+00 5.499774652376590023e-01
3.750000000000000000e+00 5.499812299811079885e-01
3.750000000000000000e+00 5.499812299811079885e-01
3.750000000000000000e+00 5.499812299811079885e-01
4.000000000000000000e+00 5.499851019817519893e-01
4.000000000000000000e+00 5.499851019817519893e-01
4.000000000000000000e+00 5.499851019817519893e-01
4.250000000000000000e+00 5.499880936942540544e-01
4.250000000000000000e+00 5.499880936942540544e-01
4.250000000000000000e+00 5.499880936942540544e-01
4.500000000000000000e+00 5.499818197843749923e-01
4.500000000000000000e+00 5.499818197843749923e-01
4.500000000000000000e+00 5.499818197843749923e-01
4.750000000000000000e+00 5.499793096995450048e-01
4.750000000000000000e+00 5.499793096995450048e-01
4.750000000000000000e+00 5.499793096995450048e-01
5.000000000000000000e+00 5.499888456184139907e-01
5.000000000000000000e+00 5.499888456184139907e-01
5.000000000000000000e+00 5.499888456184139907e-01
5.250000000000000000e+00 5.499892291210149997e-01
5.250000000000000000e+00 5.499892291210149997e-01
5.250000000000000000e+00 5.499892291210149997e-01
5.500000000000000000e+00 5.499869253735210073e-01
5.500000000000000000e+00 5.499869253735210073e-01
5.500000000000000000e+00 5.499869253735210073e-01
5.750000000000000000e+00 5.499869970395190322e-01
5.750000000000000000e+00 5.499869970395190322e-01
5.750000000000000000e+00 5.499869970395190322e-01
6.000000000000000000e+00 5.499782109586930368e-01
6.000000000000000000e+00 5.499782109586930368e-01
6.000000000000000000e+00 5.499782109586930368e-01
6.250000000000000000e+00 5.499980693577759538e-01
6.250000000000000000e+00 5.499980693577759538e-01
6.250000000000000000e+00 5.499980693577759538e-01
6.500000000000000000e+00 5.499963826216529572e-01
