t rho
3.600000000000000089e+00 1.279284897379910071e-03
3.600000000000000089e+00 1.279284897379910071e-03
3.600000000000000089e+00 1.279284897379910071e-03
3.600000000000000089e+00 1.279284897379910071e-03
3.600000000000000089e+00 1.279284897379910071e-03
7.200000000000000178e+00 1.279182011692449978e-03
7.200000000000000178e+00 1.279182011692449978e-03
7.200000000000000178e+00 1.279182011692449978e-03
7.200000000000000178e+00 1.279182011692449978e-03
7.200000000000000178e+00 1.279182011692449978e-03
1.080000000000000071e+01 1.279230798735579971e-03
1.080000000000000071e+01 1.279230798735579971e-03
1.080000000000000071e+01 1.279230798735579971e-03
1.080000000000000071e+01 1.279230798735579971e-03
1.080000000000000071e+01 1.279230798735579971e-03
1.440000000000000036e+01 1.279253346886550027e-03
1.440000000000000036e+01 1.279253346886550027e-03
1.440000000000000036e+01 1.279253346886550027e-03
1.440000000000000036e+01 1.279253346886550027e-03
1.440000000000000036e+01 1.279253346886550027e-03
1.800000000000000000e+01 1.279253413958449928e-03
1.800000000000000000e+01 1.279253413958449928e-03
1.800000000000000000e+01 1.279253413958449928e-03
1.800000000000000000e+01 1.279253413958449928e-03
1.800000000000000000e+01 1.279253413958449928e-03
2.160000000000000142e+01 1.279229721424240008e-03
2.160000000000000142e+01 1.279229721424240008e-03
2.160000000000000142e+01 1.279229721424240008e-03
2.160000000000000142e+01 1.279229721424240008e-03
2.160000000000000142e+01 1.279229721424240008e-03
2.519999999999999929e+01 1.279194452979639900e-03
2.519999999999999929e+01 1.279194452979639900e-03
2.519999999999999929e+01 1.279194452979639900e-03
2.519999999999999929e+01 1.279194452979639900e-03
2.519999999999999929e+01 1.279194452979639900e-03
2.880000000000000071e+01 1.279150821240549905e-03
2.880000000000000071e+01 1.279150821240549905e-03
2.880000000000000071e+01 1.279150821240549905e-03
2.880000000000000071e+01 1.279150821240549905e-03
2.880000000000000071e+01 1.279150821240549905e-03
3.239999999999999858e+01 1.279102451279159934e-03
3.239999999999999858e+01 1.279102451279159934e-03
3.239999999999999858e+01 1.279102451279159934e-03
3.239999999999999858e+01 1.279102451279159934e-03
3.239999999999999858e+01 1.279102451279159934e-03
3.600000000000000000e+01 1.279052385409169997e-03
3.600000000000000000e+01 1.279052385409169997e-03
3.600000000000000000e+01 1.279052385409169997e-03
3.600000000000000000e+01 1.279052385409169997e-03
3.600000000000000000e+01 1.279052385409169997e-03
3.960000000000000142e+01 1.278948724853929938e-03
3.960000000000000142e+01 1.278948724853929938e-03
3.960000000000000142e+01 1.278948724853929938e-03
3.960000000000000142e+01 1.278948724853929938e-03
3.960000000000000142e+01 1.278948724853929938e-03
4.320000000000000284e+01 1.278572867663949975e-03
4.320000000000000284e+01 1.278572867663949975e-03
4.320000000000000284e+01 1.278572867663949975e-03
4.320000000000000284e+01 1.278572867663949975e-03
4.320000000000000284e+01 1.278572867663949975e-03
4.679999999999999716e+01 1.278035361546230085e-03
4.679999999999999716e+01 1.278035361546230085e-03
4.679999999999999716e+01 1.278035361546230085e-03
4.679999999999999716e+01 1.278035361546230085e-03
4.679999999999999716e+01 1.278035361546230085e-03
5.039999999999999858e+01 1.278087923493660032e-03
5.039999999999999858e+01 1.278087923493660032e-03
5.039999999999999858e+01 1.278087923493660032e-03
5.039999999999999858e+01 1.278087923493660032e-03
5.039999999999999858e+01 1.278087923493660032e-03
5.400000000000000000e+01 1.279025768400030060e-03
5.400000000000000000e+01 1.279025768400030060e-03
5.400000000000000000e+01 1.279025768400030060e-03
5.400000000000000000e+01 1.279025768400030060e-03
5.400000000000000000e+01 1.279025768400030060e-03
