t ml_ham
0.000000000000000000e+00 -1.274991626214449928e-03
0.000000000000000000e+00 -1.274991626214449928e-03
0.000000000000000000e+00 -1.274991626214449928e-03
0.000000000000000000e+00 -1.274991626214449928e-03
3.200000000000000067e-01 -1.596005082709810088e-03
3.200000000000000067e-01 -1.596005082709810088e-03
3.200000000000000067e-01 -1.596005082709810088e-03
3.200000000000000067e-01 -1.596005082709810088e-03
6.400000000000000133e-01 -1.287076225266599924e-03
6.400000000000000133e-01 -1.287076225266599924e-03
6.400000000000000133e-01 -1.287076225266599924e-03
6.400000000000000133e-01 -1.287076225266599924e-03
9.599999999999999645e-01 -1.047716930326129904e-03
9.599999999999999645e-01 -1.047716930326129904e-03
9.599999999999999645e-01 -1.047716930326129904e-03
9.599999999999999645e-01 -1.047716930326129904e-03
1.280000000000000027e+00 -8.126400796203400506e-04
1.280000000000000027e+00 -8.126400796203400506e-04
1.280000000000000027e+00 -8.126400796203400506e-04
1.280000000000000027e+00 -8.126400796203400506e-04
1.600000000000000089e+00 -1.274343363366690083e-03
1.600000000000000089e+00 -1.274343363366690083e-03
1.600000000000000089e+00 -1.274343363366690083e-03
1.600000000000000089e+00 -1.274343363366690083e-03
1.919999999999999929e+00 -1.652381136788120023e-04
1.919999999999999929e+00 -1.652381136788120023e-04
1.919999999999999929e+00 -1.652381136788120023e-04
1.919999999999999929e+00 -1.652381136788120023e-04
2.240000000000000213e+00 -9.354518357038459813e-04
2.240000000000000213e+00 -9.354518357038459813e-04
2.240000000000000213e+00 -9.354518357038459813e-04
2.240000000000000213e+00 -9.354518357038459813e-04
2.560000000000000053e+00 -9.197905807787939546e-04
2.560000000000000053e+00 -9.197905807787939546e-04
2.560000000000000053e+00 -9.197905807787939546e-04
2.560000000000000053e+00 -9.197905807787939546e-04
2.879999999999999893e+00 -4.642677786498960037e-04
2.879999999999999893e+00 -4.642677786498960037e-04
2.879999999999999893e+00 -4.642677786498960037e-04
2.879999999999999893e+00 -4.642677786498960037e-04
3.200000000000000178e+00 1.019020700868869991e-05
3.200000000000000178e+00 1.019020700868869991e-05
3.200000000000000178e+00 1.019020700868869991e-05
3.200000000000000178e+00 1.019020700868869991e-05
3.520000000000000018e+00 -8.152567985208609676e-04
3.520000000000000018e+00 -8.152567985208609676e-04
3.520000000000000018e+00 -8.152567985208609676e-04
3.520000000000000018e+00 -8.152567985208609676e-04
3.839999999999999858e+00 -5.836436249538020423e-04
3.839999999999999858e+00 -5.836436249538020423e-04
3.839999999999999858e+00 -5.836436249538020423e-04
3.839999999999999858e+00 -5.836436249538020423e-04
4.160000000000000142e+00 -8.802065533584970129e-05
4.160000000000000142e+00 -8.802065533584970129e-05
4.160000000000000142e+00 -8.802065533584970129e-05
4.160000000000000142e+00 -8.802065533584970129e-05
4.480000000000000426e+00 -3.803455190369909905e-04
4.480000000000000426e+00 -3.803455190369909905e-04
4.480000000000000426e+00 -3.803455190369909905e-04
4.480000000000000426e+00 -3.803455190369909905e-04
4.799999999999999822e+00 -2.798171919414549932e-04
4.799999999999999822e+00 -2.798171919414549932e-04
4.799999999999999822e+00 -2.798171919414549932e-04
4.799999999999999822e+00 -2.798171919414549932e-04
5.120000000000000107e+00 -2.385472268135029885e-04
5.120000000000000107e+00 -2.385472268135029885e-04
5.120000000000000107e+00 -2.385472268135029885e-04
5.120000000000000107e+00 -2.385472268135029885e-04
5.440000000000000391e+00 -5.172730625810459826e-05
5.440000000000000391e+00 -5.172730625810459826e-05
5.440000000000000391e+00 -5.172730625810459826e-05
5.440000000000000391e+00 -5.172730625810459826e-05
5.759999999999999787e+00 -1.184629249281800040e-04
5.759999999999999787e+00 -1.184629249281800040e-04
5.759999999999999787e+00 -1.184629249281800040e-04
5.759999999999999787e+00 -1.184629249281800040e-04
6.080000000000000071e+00 -9.115605905077210430e-05
6.080000000000000071e+00 -9.115605905077210430e-05
6.080000000000000071e+00 -9.115605905077210430e-05
6.080000000000000071e+00 -9.115605905077210430e-05
6.400000000000000355e+00 1.654556420173360033e-04
6.400000000000000355e+00 1.654556420173360033e-04
6.400000000000000355e+00 1.654556420173360033e-04
6.400000000000000355e+00 1.654556420173360033e-04
6.719999999999999751e+00 -2.104443611618089891e-04
6.719999999999999751e+00 -2.104443611618089891e-04
6.719999999999999751e+00 -2.104443611618089891e-04
6.719999999999999751e+00 -2.104443611618089891e-04
7.040000000000000036e+00 3.931410856106200020e-04
7.040000000000000036e+00 3.931410856106200020e-04
7.040000000000000036e+00 3.931410856106200020e-04
7.040000000000000036e+00 3.931410856106200020e-04
7.360000000000000320e+00 -1.150634056296889963e-04
7.360000000000000320e+00 -1.150634056296889963e-04
7.360000000000000320e+00 -1.150634056296889963e-04
7.360000000000000320e+00 -1.150634056296889963e-04
7.679999999999999716e+00 3.412987519112339841e-04
7.679999999999999716e+00 3.412987519112339841e-04
7.679999999999999716e+00 3.412987519112339841e-04
7.679999999999999716e+00 3.412987519112339841e-04
8.000000000000000000e+00 4.405204280720180087e-04
8.000000000000000000e+00 4.405204280720180087e-04
8.000000000000000000e+00 4.405204280720180087e-04
8.000000000000000000e+00 4.405204280720180087e-04
8.320000000000000284e+00 -2.909417376664339772e-04
8.320000000000000284e+00 -2.909417376664339772e-04
8.320000000000000284e+00 -2.909417376664339772e-04
8.320000000000000284e+00 -2.909417376664339772e-04
8.640000000000000568e+00 7.677970122939199726e-04
8.640000000000000568e+00 7.677970122939199726e-04
8.640000000000000568e+00 7.677970122939199726e-04
8.640000000000000568e+00 7.677970122939199726e-04
8.960000000000000853e+00 2.158100499822159933e-04
8.960000000000000853e+00 2.158100499822159933e-04
8.960000000000000853e+00 2.158100499822159933e-04
8.960000000000000853e+00 2.158100499822159933e-04
9.279999999999999361e+00 2.644956257096950022e-04
9.279999999999999361e+00 2.644956257096950022e-04
9.279999999999999361e+00 2.644956257096950022e-04
9.279999999999999361e+00 2.644956257096950022e-04
9.599999999999999645e+00 5.818748902064199919e-04
9.599999999999999645e+00 5.818748902064199919e-04
9.599999999999999645e+00 5.818748902064199919e-04
9.599999999999999645e+00 5.818748902064199919e-04
9.919999999999999929e+00 3.160739841741710271e-04
9.919999999999999929e+00 3.160739841741710271e-04
9.919999999999999929e+00 3.160739841741710271e-04
9.919999999999999929e+00 3.160739841741710271e-04
1.024000000000000021e+01 5.551205318941810274e-04
1.024000000000000021e+01 5.551205318941810274e-04
1.024000000000000021e+01 5.551205318941810274e-04
1.024000000000000021e+01 5.551205318941810274e-04
1.056000000000000050e+01 4.621391982314549882e-04
1.056000000000000050e+01 4.621391982314549882e-04
1.056000000000000050e+01 4.621391982314549882e-04
1.056000000000000050e+01 4.621391982314549882e-04
1.088000000000000078e+01 6.428155183553419709e-04
1.088000000000000078e+01 6.428155183553419709e-04
1.088000000000000078e+01 6.428155183553419709e-04
1.088000000000000078e+01 6.428155183553419709e-04
1.119999999999999929e+01 5.023824607340989868e-04
