t rho
3.200000000000000067e-01 2.280112129068459850e-03
3.200000000000000067e-01 2.280112129068459850e-03
3.200000000000000067e-01 2.280112129068459850e-03
6.400000000000000133e-01 2.280116811433070042e-03
6.400000000000000133e-01 2.280116811433070042e-03
6.400000000000000133e-01 2.280116811433070042e-03
9.599999999999999645e-01 2.280128811938069919e-03
9.599999999999999645e-01 2.280128811938069919e-03
9.599999999999999645e-01 2.280128811938069919e-03
1.280000000000000027e+00 2.280144859822840105e-03
1.280000000000000027e+00 2.280144859822840105e-03
1.280000000000000027e+00 2.280144859822840105e-03
1.600000000000000089e+00 2.280164838762440034e-03
1.600000000000000089e+00 2.280164838762440034e-03
1.600000000000000089e+00 2.280164838762440034e-03
1.919999999999999929e+00 2.280178820008550104e-03
1.919999999999999929e+00 2.280178820008550104e-03
1.919999999999999929e+00 2.280178820008550104e-03
2.240000000000000213e+00 2.280193489599010009e-03
2.240000000000000213e+00 2.280193489599010009e-03
2.240000000000000213e+00 2.280193489599010009e-03
2.560000000000000053e+00 2.280200858395970212e-03
2.560000000000000053e+00 2.280200858395970212e-03
2.560000000000000053e+00 2.280200858395970212e-03
2.879999999999999893e+00 2.280216446291799797e-03
2.879999999999999893e+00 2.280216446291799797e-03
2.879999999999999893e+00 2.280216446291799797e-03
3.200000000000000178e+00 2.280222760069190030e-03
3.200000000000000178e+00 2.280222760069190030e-03
3.200000000000000178e+00 2.280222760069190030e-03
3.520000000000000018e+00 2.280229130739709793e-03
3.520000000000000018e+00 2.280229130739709793e-03
3.520000000000000018e+00 2.280229130739709793e-03
3.839999999999999858e+00 2.280239300540179859e-03
3.839999999999999858e+00 2.280239300540179859e-03
3.839999999999999858e+00 2.280239300540179859e-03
4.160000000000000142e+00 2.280243584783500210e-03
4.160000000000000142e+00 2.280243584783500210e-03
4.160000000000000142e+00 2.280243584783500210e-03
4.480000000000000426e+00 2.280251760440720008e-03
4.480000000000000426e+00 2.280251760440720008e-03
4.480000000000000426e+00 2.280251760440720008e-03
4.799999999999999822e+00 2.280253671638100051e-03
4.799999999999999822e+00 2.280253671638100051e-03
4.799999999999999822e+00 2.280253671638100051e-03
5.120000000000000107e+00 2.280267931689619870e-03
5.120000000000000107e+00 2.280267931689619870e-03
5.120000000000000107e+00 2.280267931689619870e-03
5.440000000000000391e+00 2.280283762937200098e-03
5.440000000000000391e+00 2.280283762937200098e-03
5.440000000000000391e+00 2.280283762937200098e-03
5.759999999999999787e+00 2.280308446316510213e-03
5.759999999999999787e+00 2.280308446316510213e-03
5.759999999999999787e+00 2.280308446316510213e-03
6.080000000000000071e+00 2.280336471285880108e-03
6.080000000000000071e+00 2.280336471285880108e-03
6.080000000000000071e+00 2.280336471285880108e-03
6.400000000000000355e+00 2.280357685340070068e-03
6.400000000000000355e+00 2.280357685340070068e-03
6.400000000000000355e+00 2.280357685340070068e-03
6.719999999999999751e+00 2.280385500569739963e-03
6.719999999999999751e+00 2.280385500569739963e-03
6.719999999999999751e+00 2.280385500569739963e-03
7.040000000000000036e+00 2.280394193787340165e-03
7.040000000000000036e+00 2.280394193787340165e-03
7.040000000000000036e+00 2.280394193787340165e-03
7.360000000000000320e+00 2.280423214655180088e-03
7.360000000000000320e+00 2.280423214655180088e-03
7.360000000000000320e+00 2.280423214655180088e-03
7.679999999999999716e+00 2.280427419522420077e-03
7.679999999999999716e+00 2.280427419522420077e-03
7.679999999999999716e+00 2.280427419522420077e-03
8.000000000000000000e+00 2.280444364077100026e-03
8.000000000000000000e+00 2.280444364077100026e-03
8.000000000000000000e+00 2.280444364077100026e-03
8.320000000000000284e+00 2.280445104458270027e-03
8.320000000000000284e+00 2.280445104458270027e-03
8.320000000000000284e+00 2.280445104458270027e-03
8.640000000000000568e+00 2.280453332584580096e-03
8.640000000000000568e+00 2.280453332584580096e-03
8.640000000000000568e+00 2.280453332584580096e-03
8.960000000000000853e+00 2.280462266854339868e-03
8.960000000000000853e+00 2.280462266854339868e-03
8.960000000000000853e+00 2.280462266854339868e-03
9.279999999999999361e+00 2.280479246104220089e-03
9.279999999999999361e+00 2.280479246104220089e-03
9.279999999999999361e+00 2.280479246104220089e-03
9.599999999999999645e+00 2.280503056619110139e-03
9.599999999999999645e+00 2.280503056619110139e-03
9.599999999999999645e+00 2.280503056619110139e-03
9.919999999999999929e+00 2.280528339510590197e-03
9.919999999999999929e+00 2.280528339510590197e-03
9.919999999999999929e+00 2.280528339510590197e-03
1.024000000000000021e+01 2.280554274511039942e-03
1.024000000000000021e+01 2.280554274511039942e-03
1.024000000000000021e+01 2.280554274511039942e-03
1.056000000000000050e+01 2.280575010726610102e-03
1.056000000000000050e+01 2.280575010726610102e-03
1.056000000000000050e+01 2.280575010726610102e-03
1.088000000000000078e+01 2.280596477117239999e-03
1.088000000000000078e+01 2.280596477117239999e-03
1.088000000000000078e+01 2.280596477117239999e-03
1.119999999999999929e+01 2.280607757258449990e-03
1.119999999999999929e+01 2.280607757258449990e-03
1.119999999999999929e+01 2.280607757258449990e-03
1.151999999999999957e+01 2.280622602442210212e-03
1.151999999999999957e+01 2.280622602442210212e-03
1.151999999999999957e+01 2.280622602442210212e-03
1.183999999999999986e+01 2.280630477359110210e-03
1.183999999999999986e+01 2.280630477359110210e-03
1.183999999999999986e+01 2.280630477359110210e-03
1.216000000000000014e+01 2.280647030643949847e-03
1.216000000000000014e+01 2.280647030643949847e-03
1.216000000000000014e+01 2.280647030643949847e-03
1.248000000000000043e+01 2.280664500707200049e-03
1.248000000000000043e+01 2.280664500707200049e-03
1.248000000000000043e+01 2.280664500707200049e-03
1.280000000000000071e+01 2.280690187577020037e-03
1.280000000000000071e+01 2.280690187577020037e-03
1.280000000000000071e+01 2.280690187577020037e-03
1.311999999999999922e+01 2.280718453876509882e-03
1.311999999999999922e+01 2.280718453876509882e-03
1.311999999999999922e+01 2.280718453876509882e-03
1.343999999999999950e+01 2.280745779850349916e-03
1.343999999999999950e+01 2.280745779850349916e-03
1.343999999999999950e+01 2.280745779850349916e-03
1.375999999999999979e+01 2.280772333784739786e-03
1.375999999999999979e+01 2.280772333784739786e-03
1.375999999999999979e+01 2.280772333784739786e-03
1.408000000000000007e+01 2.280790153593499885e-03
1.408000000000000007e+01 2.280790153593499885e-03
1.408000000000000007e+01 2.280790153593499885e-03
1.440000000000000036e+01 2.280805207889989843e-03
1.440000000000000036e+01 2.280805207889989843e-03
1.440000000000000036e+01 2.280805207889989843e-03
1.472000000000000064e+01 2.280812584133329931e-03
1.472000000000000064e+01 2.280812584133329931e-03
1.472000000000000064e+01 2.280812584133329931e-03
1.503999999999999915e+01 2.280820272929739816e-03
1.503999999999999915e+01 2.280820272929739816e-03
1.503999999999999915e+01 2.280820272929739816e-03
