t lapse
0.000000000000000000e+00 5.499855967256890299e-01
0.000000000000000000e+00 5.499855967256890299e-01
0.000000000000000000e+00 5.499855967256890299e-01
2.500000000000000000e-01 5.499839721052569574e-01
2.500000000000000000e-01 5.499839721052569574e-01
2.500000000000000000e-01 5.499839721052569574e-01
5.000000000000000000e-01 5.499845895906639859e-01
5.000000000000000000e-01 5.499845895906639859e-01
5.000000000000000000e-01 5.499845895906639859e-01
7.500000000000000000e-01 5.499836330589780165e-01
7.500000000000000000e-01 5.499836330589780165e-01
7.500000000000000000e-01 5.499836330589780165e-01
1.000000000000000000e+00 5.499853077780959554e-01
1.000000000000000000e+00 5.499853077780959554e-01
1.000000000000000000e+00 5.499853077780959554e-01
1.250000000000000000e+00 5.499853014913259619e-01
1.250000000000000000e+00 5.499853014913259619e-01
1.250000000000000000e+00 5.499853014913259619e-01
1.500000000000000000e+00 5.499752140249030141e-01
1.500000000000000000e+00 5.499752140249030141e-01
1.500000000000000000e+00 5.499752140249030141e-01
1.750000000000000000e+00 5.499849725038360448e-01
1.750000000000000000e+00 5.499849725038360448e-01
1.750000000000000000e+00 5.499849725038360448e-01
2.000000000000000000e+00 5.499809897569120087e-01
2.000000000000000000e+00 5.499809897569120087e-01
2.000000000000000000e+00 5.499809897569120087e-01
2.250000000000000000e+00 5.499882338819680472e-01
2.250000000000000000e+00 5.499882338819680472e-01
2.250000000000000000e+00 5.499882338819680472e-01
2.500000000000000000e+00 5.499823376112750184e-01
2.500000000000000000e+00 5.499823376112750184e-01
2.500000000000000000e+00 5.499823376112750184e-01
2.750000000000000000e+00 5.499830088968910013e-01
2.750000000000000000e+00 5.499830088968910013e-01
2.750000000000000000e+00 5.499830088968910013e-01
3.000000000000000000e+00 5.499843917625180101e-01
3.000000000000000000e+00 5.499843917625180101e-01
3.000000000000000000e+00 5.499843917625180101e-01
3.250000000000000000e+00 5.499847557176059665e-01
3.250000000000000000e+00 5.499847557176059665e-01
3.250000000000000000e+00 5.499847557176059665e-01
3.500000000000000000e+00 5.499783127080879463e-01
3.500000000000000000e+00 5.499783127080879463e-01
3.500000000000000000e+00 5.499783127080879463e-01
3.750000000000000000e+00 5.499813029171669587e-01
3.750000000000000000e+00 5.499813029171669587e-01
3.750000000000000000e+00 5.499813029171669587e-01
4.000000000000000000e+00 5.499830678933169681e-01
4.000000000000000000e+00 5.499830678933169681e-01
4.000000000000000000e+00 5.499830678933169681e-01
4.250000000000000000e+00 5.499907113420819949e-01
4.250000000000000000e+00 5.499907113420819949e-01
4.250000000000000000e+00 5.499907113420819949e-01
4.500000000000000000e+00 5.499802542014270434e-01
4.500000000000000000e+00 5.499802542014270434e-01
4.500000000000000000e+00 5.499802542014270434e-01
4.750000000000000000e+00 5.499793286226489775e-01
4.750000000000000000e+00 5.499793286226489775e-01
4.750000000000000000e+00 5.499793286226489775e-01
5.000000000000000000e+00 5.499898644653510305e-01
5.000000000000000000e+00 5.499898644653510305e-01
5.000000000000000000e+00 5.499898644653510305e-01
5.250000000000000000e+00 5.499880014164649777e-01
5.250000000000000000e+00 5.499880014164649777e-01
5.250000000000000000e+00 5.499880014164649777e-01
5.500000000000000000e+00 5.499875156252640451e-01
5.500000000000000000e+00 5.499875156252640451e-01
5.500000000000000000e+00 5.499875156252640451e-01
5.750000000000000000e+00 5.499872581476710209e-01
5.750000000000000000e+00 5.499872581476710209e-01
5.750000000000000000e+00 5.499872581476710209e-01
6.000000000000000000e+00 5.499780282242580087e-01
6.000000000000000000e+00 5.499780282242580087e-01
6.000000000000000000e+00 5.499780282242580087e-01
6.250000000000000000e+00 5.499987366575960213e-01
6.250000000000000000e+00 5.499987366575960213e-01
6.250000000000000000e+00 5.499987366575960213e-01
6.500000000000000000e+00 5.499944045603230025e-01
