t phi
3.600000000000000089e+00 -6.464624402325429564e-01
3.600000000000000089e+00 -6.464624402325429564e-01
3.600000000000000089e+00 -6.464624402325429564e-01
3.600000000000000089e+00 -6.464624402325429564e-01
3.600000000000000089e+00 -6.464624402325429564e-01
7.200000000000000178e+00 -6.464550758792609875e-01
7.200000000000000178e+00 -6.464550758792609875e-01
7.200000000000000178e+00 -6.464550758792609875e-01
7.200000000000000178e+00 -6.464550758792609875e-01
7.200000000000000178e+00 -6.464550758792609875e-01
1.080000000000000071e+01 -6.464478691183099812e-01
1.080000000000000071e+01 -6.464478691183099812e-01
1.080000000000000071e+01 -6.464478691183099812e-01
1.080000000000000071e+01 -6.464478691183099812e-01
1.080000000000000071e+01 -6.464478691183099812e-01
1.440000000000000036e+01 -6.464301864921390139e-01
1.440000000000000036e+01 -6.464301864921390139e-01
1.440000000000000036e+01 -6.464301864921390139e-01
1.440000000000000036e+01 -6.464301864921390139e-01
1.440000000000000036e+01 -6.464301864921390139e-01
1.800000000000000000e+01 -6.464151180174629863e-01
1.800000000000000000e+01 -6.464151180174629863e-01
1.800000000000000000e+01 -6.464151180174629863e-01
1.800000000000000000e+01 -6.464151180174629863e-01
1.800000000000000000e+01 -6.464151180174629863e-01
2.160000000000000142e+01 -6.463906938321090090e-01
2.160000000000000142e+01 -6.463906938321090090e-01
2.160000000000000142e+01 -6.463906938321090090e-01
2.160000000000000142e+01 -6.463906938321090090e-01
2.160000000000000142e+01 -6.463906938321090090e-01
2.519999999999999929e+01 -6.463581678943499664e-01
2.519999999999999929e+01 -6.463581678943499664e-01
2.519999999999999929e+01 -6.463581678943499664e-01
2.519999999999999929e+01 -6.463581678943499664e-01
2.519999999999999929e+01 -6.463581678943499664e-01
2.880000000000000071e+01 -6.463153447638699811e-01
2.880000000000000071e+01 -6.463153447638699811e-01
2.880000000000000071e+01 -6.463153447638699811e-01
2.880000000000000071e+01 -6.463153447638699811e-01
2.880000000000000071e+01 -6.463153447638699811e-01
3.239999999999999858e+01 -6.462699882187450395e-01
3.239999999999999858e+01 -6.462699882187450395e-01
3.239999999999999858e+01 -6.462699882187450395e-01
3.239999999999999858e+01 -6.462699882187450395e-01
3.239999999999999858e+01 -6.462699882187450395e-01
3.600000000000000000e+01 -6.462428528741579470e-01
3.600000000000000000e+01 -6.462428528741579470e-01
3.600000000000000000e+01 -6.462428528741579470e-01
3.600000000000000000e+01 -6.462428528741579470e-01
3.600000000000000000e+01 -6.462428528741579470e-01
