t phi
6.400000000000000133e-01 -8.613754693098439885e-01
6.400000000000000133e-01 -8.613754693098439885e-01
6.400000000000000133e-01 -8.613754693098439885e-01
6.400000000000000133e-01 -8.613754693098439885e-01
6.400000000000000133e-01 -8.613754693098439885e-01
1.280000000000000027e+00 -8.617298849665380178e-01
1.280000000000000027e+00 -8.617298849665380178e-01
1.280000000000000027e+00 -8.617298849665380178e-01
1.280000000000000027e+00 -8.617298849665380178e-01
1.280000000000000027e+00 -8.617298849665380178e-01
1.919999999999999929e+00 -8.623084059228699472e-01
1.919999999999999929e+00 -8.623084059228699472e-01
1.919999999999999929e+00 -8.623084059228699472e-01
1.919999999999999929e+00 -8.623084059228699472e-01
1.919999999999999929e+00 -8.623084059228699472e-01
2.560000000000000053e+00 -8.630934060213939496e-01
2.560000000000000053e+00 -8.630934060213939496e-01
2.560000000000000053e+00 -8.630934060213939496e-01
2.560000000000000053e+00 -8.630934060213939496e-01
2.560000000000000053e+00 -8.630934060213939496e-01
3.200000000000000178e+00 -8.640619684868040551e-01
3.200000000000000178e+00 -8.640619684868040551e-01
3.200000000000000178e+00 -8.640619684868040551e-01
3.200000000000000178e+00 -8.640619684868040551e-01
3.200000000000000178e+00 -8.640619684868040551e-01
3.839999999999999858e+00 -8.651890098554779751e-01
3.839999999999999858e+00 -8.651890098554779751e-01
3.839999999999999858e+00 -8.651890098554779751e-01
3.839999999999999858e+00 -8.651890098554779751e-01
3.839999999999999858e+00 -8.651890098554779751e-01
4.480000000000000426e+00 -8.664470181342469601e-01
4.480000000000000426e+00 -8.664470181342469601e-01
4.480000000000000426e+00 -8.664470181342469601e-01
4.480000000000000426e+00 -8.664470181342469601e-01
4.480000000000000426e+00 -8.664470181342469601e-01
5.120000000000000107e+00 -8.678074335862839828e-01
5.120000000000000107e+00 -8.678074335862839828e-01
5.120000000000000107e+00 -8.678074335862839828e-01
5.120000000000000107e+00 -8.678074335862839828e-01
5.120000000000000107e+00 -8.678074335862839828e-01
5.759999999999999787e+00 -8.692397172350000423e-01
5.759999999999999787e+00 -8.692397172350000423e-01
5.759999999999999787e+00 -8.692397172350000423e-01
5.759999999999999787e+00 -8.692397172350000423e-01
5.759999999999999787e+00 -8.692397172350000423e-01
6.400000000000000355e+00 -8.707100379452530348e-01
6.400000000000000355e+00 -8.707100379452530348e-01
6.400000000000000355e+00 -8.707100379452530348e-01
6.400000000000000355e+00 -8.707100379452530348e-01
6.400000000000000355e+00 -8.707100379452530348e-01
7.040000000000000036e+00 -8.721847154364279486e-01
7.040000000000000036e+00 -8.721847154364279486e-01
7.040000000000000036e+00 -8.721847154364279486e-01
7.040000000000000036e+00 -8.721847154364279486e-01
7.040000000000000036e+00 -8.721847154364279486e-01
7.679999999999999716e+00 -8.736320693527800385e-01
7.679999999999999716e+00 -8.736320693527800385e-01
7.679999999999999716e+00 -8.736320693527800385e-01
7.679999999999999716e+00 -8.736320693527800385e-01
7.679999999999999716e+00 -8.736320693527800385e-01
8.320000000000000284e+00 -8.750186504194219506e-01
8.320000000000000284e+00 -8.750186504194219506e-01
8.320000000000000284e+00 -8.750186504194219506e-01
8.320000000000000284e+00 -8.750186504194219506e-01
8.320000000000000284e+00 -8.750186504194219506e-01
8.960000000000000853e+00 -8.763093194520089613e-01
8.960000000000000853e+00 -8.763093194520089613e-01
8.960000000000000853e+00 -8.763093194520089613e-01
8.960000000000000853e+00 -8.763093194520089613e-01
8.960000000000000853e+00 -8.763093194520089613e-01
9.599999999999999645e+00 -8.774749889370510036e-01
9.599999999999999645e+00 -8.774749889370510036e-01
9.599999999999999645e+00 -8.774749889370510036e-01
9.599999999999999645e+00 -8.774749889370510036e-01
9.599999999999999645e+00 -8.774749889370510036e-01
1.024000000000000021e+01 -8.784920937563489574e-01
1.024000000000000021e+01 -8.784920937563489574e-01
1.024000000000000021e+01 -8.784920937563489574e-01
1.024000000000000021e+01 -8.784920937563489574e-01
1.024000000000000021e+01 -8.784920937563489574e-01
