t rho
4.000000000000000000e+00 3.814201453154479789e-03
4.000000000000000000e+00 3.814201453154479789e-03
4.000000000000000000e+00 3.814201453154479789e-03
4.000000000000000000e+00 3.814201453154479789e-03
4.000000000000000000e+00 3.814201453154479789e-03
4.000000000000000000e+00 3.814201453154479789e-03
4.000000000000000000e+00 3.814201453154479789e-03
8.000000000000000000e+00 3.838040237300179968e-03
8.000000000000000000e+00 3.838040237300179968e-03
8.000000000000000000e+00 3.838040237300179968e-03
8.000000000000000000e+00 3.838040237300179968e-03
8.000000000000000000e+00 3.838040237300179968e-03
8.000000000000000000e+00 3.838040237300179968e-03
8.000000000000000000e+00 3.838040237300179968e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.200000000000000000e+01 3.862961702411509858e-03
1.600000000000000000e+01 3.886896246455899886e-03
1.600000000000000000e+01 3.886896246455899886e-03
1.600000000000000000e+01 3.886896246455899886e-03
1.600000000000000000e+01 3.886896246455899886e-03
1.600000000000000000e+01 3.886896246455899886e-03
1.600000000000000000e+01 3.886896246455899886e-03
1.600000000000000000e+01 3.886896246455899886e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.000000000000000000e+01 3.917468060419850018e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.400000000000000000e+01 3.953955359774860394e-03
2.800000000000000000e+01 3.989382495242169840e-03
2.800000000000000000e+01 3.989382495242169840e-03
2.800000000000000000e+01 3.989382495242169840e-03
2.800000000000000000e+01 3.989382495242169840e-03
2.800000000000000000e+01 3.989382495242169840e-03
2.800000000000000000e+01 3.989382495242169840e-03
2.800000000000000000e+01 3.989382495242169840e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.200000000000000000e+01 4.021205802905000216e-03
3.600000000000000000e+01 4.045685354110190209e-03
3.600000000000000000e+01 4.045685354110190209e-03
3.600000000000000000e+01 4.045685354110190209e-03
3.600000000000000000e+01 4.045685354110190209e-03
3.600000000000000000e+01 4.045685354110190209e-03
3.600000000000000000e+01 4.045685354110190209e-03
3.600000000000000000e+01 4.045685354110190209e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.000000000000000000e+01 4.070270075602150373e-03
4.400000000000000000e+01 4.103882331392049755e-03
4.400000000000000000e+01 4.103882331392049755e-03
4.400000000000000000e+01 4.103882331392049755e-03
4.400000000000000000e+01 4.103882331392049755e-03
4.400000000000000000e+01 4.103882331392049755e-03
4.400000000000000000e+01 4.103882331392049755e-03
4.400000000000000000e+01 4.103882331392049755e-03
