t rho
9.599999999999999645e-01 2.071083074313760045e-03
9.599999999999999645e-01 2.071083074313760045e-03
9.599999999999999645e-01 2.071083074313760045e-03
9.599999999999999645e-01 2.071083074313760045e-03
9.599999999999999645e-01 2.071083074313760045e-03
1.919999999999999929e+00 2.071085942995490141e-03
1.919999999999999929e+00 2.071085942995490141e-03
1.919999999999999929e+00 2.071085942995490141e-03
1.919999999999999929e+00 2.071085942995490141e-03
1.919999999999999929e+00 2.071085942995490141e-03
2.879999999999999893e+00 2.071084046319819887e-03
2.879999999999999893e+00 2.071084046319819887e-03
2.879999999999999893e+00 2.071084046319819887e-03
2.879999999999999893e+00 2.071084046319819887e-03
2.879999999999999893e+00 2.071084046319819887e-03
3.839999999999999858e+00 2.071076506925530018e-03
3.839999999999999858e+00 2.071076506925530018e-03
3.839999999999999858e+00 2.071076506925530018e-03
3.839999999999999858e+00 2.071076506925530018e-03
3.839999999999999858e+00 2.071076506925530018e-03
4.799999999999999822e+00 2.071075427707559820e-03
4.799999999999999822e+00 2.071075427707559820e-03
4.799999999999999822e+00 2.071075427707559820e-03
4.799999999999999822e+00 2.071075427707559820e-03
4.799999999999999822e+00 2.071075427707559820e-03
5.759999999999999787e+00 2.071043498484290146e-03
5.759999999999999787e+00 2.071043498484290146e-03
5.759999999999999787e+00 2.071043498484290146e-03
5.759999999999999787e+00 2.071043498484290146e-03
5.759999999999999787e+00 2.071043498484290146e-03
6.719999999999999751e+00 2.071046095696439920e-03
6.719999999999999751e+00 2.071046095696439920e-03
6.719999999999999751e+00 2.071046095696439920e-03
6.719999999999999751e+00 2.071046095696439920e-03
6.719999999999999751e+00 2.071046095696439920e-03
7.679999999999999716e+00 2.071059358702959791e-03
7.679999999999999716e+00 2.071059358702959791e-03
7.679999999999999716e+00 2.071059358702959791e-03
7.679999999999999716e+00 2.071059358702959791e-03
7.679999999999999716e+00 2.071059358702959791e-03
8.640000000000000568e+00 2.071017351776669943e-03
8.640000000000000568e+00 2.071017351776669943e-03
8.640000000000000568e+00 2.071017351776669943e-03
8.640000000000000568e+00 2.071017351776669943e-03
8.640000000000000568e+00 2.071017351776669943e-03
9.599999999999999645e+00 2.071006598137530193e-03
9.599999999999999645e+00 2.071006598137530193e-03
9.599999999999999645e+00 2.071006598137530193e-03
9.599999999999999645e+00 2.071006598137530193e-03
9.599999999999999645e+00 2.071006598137530193e-03
1.056000000000000050e+01 2.071025402491179918e-03
1.056000000000000050e+01 2.071025402491179918e-03
1.056000000000000050e+01 2.071025402491179918e-03
1.056000000000000050e+01 2.071025402491179918e-03
1.056000000000000050e+01 2.071025402491179918e-03
1.151999999999999957e+01 2.071030336443169945e-03
1.151999999999999957e+01 2.071030336443169945e-03
1.151999999999999957e+01 2.071030336443169945e-03
1.151999999999999957e+01 2.071030336443169945e-03
1.151999999999999957e+01 2.071030336443169945e-03
