t ham
0.000000000000000000e+00 1.189231007820660062e-06
3.200000000000000067e-01 inf
6.400000000000000133e-01 1.127906179260000048e-06
9.599999999999999645e-01 inf
1.280000000000000027e+00 1.028444758447030020e-06
1.600000000000000089e+00 inf
1.919999999999999929e+00 9.775269777093069632e-07
2.240000000000000213e+00 inf
2.560000000000000053e+00 9.473810957225220210e-07
2.879999999999999893e+00 inf
3.200000000000000178e+00 9.242837395455569536e-07
3.520000000000000018e+00 inf
3.839999999999999858e+00 9.072655048165430368e-07
4.160000000000000142e+00 inf
4.480000000000000426e+00 8.930098019355849943e-07
4.799999999999999822e+00 inf
5.120000000000000107e+00 8.821241499790559785e-07
5.440000000000000391e+00 inf
5.759999999999999787e+00 8.901845383331340265e-07
6.080000000000000071e+00 inf
6.400000000000000355e+00 1.010414433880880007e-06
6.719999999999999751e+00 inf
7.040000000000000036e+00 8.647864357498490341e-07
7.360000000000000320e+00 inf
7.679999999999999716e+00 8.605056062797330176e-07
8.000000000000000000e+00 inf
8.320000000000000284e+00 8.587745727633919589e-07
8.640000000000000568e+00 inf
8.960000000000000853e+00 8.719587199881600110e-07
9.279999999999999361e+00 inf
9.599999999999999645e+00 9.394095588347390090e-07
9.919999999999999929e+00 inf
1.024000000000000021e+01 8.635012106740310387e-07
1.056000000000000050e+01 inf
1.088000000000000078e+01 8.716332300285670276e-07
1.119999999999999929e+01 inf
1.151999999999999957e+01 8.921117202497190290e-07
1.183999999999999986e+01 inf
1.216000000000000014e+01 8.746573222592179677e-07
1.248000000000000043e+01 inf
1.280000000000000071e+01 9.119108530165840465e-07
1.311999999999999922e+01 inf
1.343999999999999950e+01 8.897772714547680365e-07
1.375999999999999979e+01 inf
1.408000000000000007e+01 9.677720023528510023e-07
1.440000000000000036e+01 inf
1.472000000000000064e+01 9.717653635158720625e-07
1.503999999999999915e+01 inf
1.535999999999999943e+01 9.043586519133880357e-07
1.567999999999999972e+01 inf
1.600000000000000000e+01 9.095088737886220160e-07
1.632000000000000028e+01 inf
1.664000000000000057e+01 9.113104126561209701e-07
1.696000000000000085e+01 inf
1.728000000000000114e+01 1.006516896017389910e-06
1.760000000000000142e+01 inf
1.792000000000000171e+01 9.308019307131439944e-07
1.823999999999999844e+01 inf
1.855999999999999872e+01 9.292469512382700408e-07
1.887999999999999901e+01 inf
1.919999999999999929e+01 9.449983796321860058e-07
1.951999999999999957e+01 inf
1.983999999999999986e+01 9.508026872415879547e-07
2.016000000000000014e+01 inf
2.048000000000000043e+01 9.493072371364560064e-07
2.080000000000000071e+01 inf
2.112000000000000099e+01 9.692124073758810125e-07
2.144000000000000128e+01 inf
2.176000000000000156e+01 9.657342186241649805e-07
